"","time","launches","debris","satellites","value","risk","kessler","user_cost"
"1",1,1.41041688258544,0,0,-7.05208441292722,0,0,0
"2",2,0.169779181184864,4.23125064775633,1.41041688258544,0.561520976661126,0.106700484465484,0,0.415992690701651
"3",3,0.162497799204985,3.95963496664682,1.42970389910014,0.617214903075221,0.105134225537116,0,0.423823646245309
"4",4,0.157919533841831,3.78669164960848,1.44189088612584,0.652293216916686,0.104131339309408,0,0.428838118686718
"5",5,0.155009583050979,3.67584711233043,1.44966439085736,0.674616475602464,0.103486287684882,0,0.432063398308516
"6",6,0.153146428223878,3.60448954929529,1.45465358770954,0.688921446590155,0.10307010494605,0,0.434144324096824
"7",7,0.151947722013295,3.55841753833758,1.45786871798805,0.698130107921576,0.102801018273597,0,0.435489764614364
"8",8,0.151174055073551,3.52861367469766,1.45994605128295,0.704075775915197,0.102626790463817,0,0.436360908037144
"9",9,0.150673680944917,3.5093092061821,1.46129052886301,0.707922124138425,0.102513875139774,0,0.436925487388251
"10",10,0.150349623737703,3.49679502017014,1.46216165498913,0.710413536300616,0.102440650250231,0,0.437291613564602
"11",11,0.150139570296578,3.48867827682268,1.46272648801879,0.7120286365359,0.102393144962646,0,0.437529141106533
"12",12,0.150003336210447,3.48341187863443,1.46309289298696,0.713076211934726,0.102362317262686,0,0.437683280315495
"13",13,0.149914946273474,3.47999409247404,1.4633306503007,0.713755918933324,0.102342308699408,0,0.437783323589129
"14",14,0.149857584246673,3.47777568845364,1.46348495943179,0.714197038198423,0.102329320770055,0,0.437848263531431
"15",15,0.149820352440853,3.47633563586371,1.46358512182262,0.714483359618353,0.102320889442665,0,0.437890420359699
"16",16,0.149796184044232,3.47540078289014,1.46365014282353,0.714669222602368,0.102315415845832,0,0.43791778846784
"17",17,0.149780494503513,3.47479387054041,1.46369235385196,0.714789881334393,0.102311862289671,0,0.437935556329041
"18",18,0.149770308795409,3.47439984884975,1.46371975781373,0.714868213836684,0.1023095552113,0,0.437947091773053
"19",19,0.149763696011945,3.47414403635721,1.46373754923322,0.714919069173496,0.102308057365112,0,0.437954581037836
"20",20,0.149759402771416,3.47397795219699,1.46374910009075,0.714952086233669,0.102307084896047,0,0.437959443405124
"21",21,0.149756615423173,3.47387012263844,1.46375659941267,0.714973522296801,0.102306453521926,0,0.437962600289991
"22",22,0.149754805748332,3.47380011434638,1.46376146833061,0.714987439588956,0.102306043601723,0,0.43796464990026
"23",23,0.149753630818277,3.47375466135562,1.46376462947739,0.714996475386008,0.102305777460051,0,0.437965980614632
"24",24,0.14975286799336,3.47372515087328,1.46376668185846,0.715002341891659,0.10230560466667,0,0.437966844585434
"25",25,0.149752372727224,3.4737059910848,1.46376801437337,0.715006150737245,0.102305492479874,0,0.437967405521949
"26",26,0.149752051173916,3.47369355151172,1.46376887951384,0.715008623644257,0.102305419642099,0,0.437967769712467
"27",27,0.149751842404097,3.4736854750623,1.46376944121004,0.715010229189559,0.102305372351831,0,0.437968006164874
"28",28,0.149751706859349,3.47368023138894,1.46376980589391,0.715011271597167,0.102305341648394,0,0.437968159682752
"29",29,0.149751618856277,3.47367682690817,1.46377004266668,0.7150119483853,0.102305321714035,0,0.437968259355001
"30",30,0.149751561719849,3.47367461653193,1.46377019639258,0.715012387793331,0.102305308771551,0,0.437968324067713
"31",31,0.149751524623738,3.47367318143392,1.46377029619989,0.715012673081201,0.102305300368577,0,0.437968366082772
"32",32,0.1497515005389,3.47367224968918,1.4637703610003,0.715012858305801,0.102305294912903,0,0.437968393361266
"33",33,0.149751484901694,3.4736716447491,1.4637704030723,0.715012978563827,0.102305291370778,0,0.437968411071969
"34",34,0.149751474749158,3.47367125198863,1.46377043038776,0.715013056641969,0.102305289071035,0,0.437968422570734
"35",35,0.149751468157571,3.47367099698686,1.46377044812246,0.71501310733461,0.102305287577915,0,0.437968430036367
"36",36,0.149751463877951,3.47367083142563,1.46377045963681,0.715013140247058,0.1023052866085,0,0.437968434883468
"37",37,0.149751461099383,3.47367072393415,1.46377046711256,0.715013161615647,0.102305285979101,0,0.437968438030474
"38",38,0.149751459295385,3.47367065414475,1.46377047196623,0.715013175489307,0.102305285570461,0,0.437968440073684
"39",39,0.149751458124129,3.47367060883361,1.4637704751175,0.715013184496857,0.10230528530515,0,0.437968441400248
"40",40,0.149751457363686,3.47367057941513,1.46377047716348,0.715013190345053,0.102305285132895,0,0.437968442261527
"41",41,0.149751456869963,3.47367056031502,1.46377047849185,0.715013194142031,0.102305285021057,0,0.437968442820717
"42",42,0.149751456549412,3.47367054791418,1.46377047935429,0.715013196607231,0.102305284948446,0,0.437968443183774
"43",43,0.149751456341292,3.47367053986286,1.46377047991424,0.715013198207777,0.102305284901303,0,0.43796844341949
"44",44,0.149751456206169,3.47367053463551,1.46377048027779,0.715013199246942,0.102305284870695,0,0.437968443572531
"45",45,0.14975145611844,3.47367053124162,1.46377048051382,0.715013199921625,0.102305284850823,0,0.437968443671893
"46",46,0.149751456061482,3.47367052903812,1.46377048066707,0.715013200359664,0.10230528483792,0,0.437968443736404
"47",47,0.1497514560245,3.47367052760749,1.46377048076657,0.715013200644068,0.102305284829544,0,0.437968443778288
"48",48,0.149751456000492,3.47367052667864,1.46377048083117,0.715013200828708,0.102305284824105,0,0.437968443805482
"49",49,0.149751455984902,3.47367052607558,1.46377048087311,0.715013200948598,0.102305284820574,0,0.437968443823138
"50",50,0.149751455974781,3.47367052568404,1.46377048090034,0.715013201026435,0.102305284818281,0,0.437968443834601
