"","time","launches","debris","satellites","value","risk","kessler","user_cost"
"1",1,2.6324544658039,0,0,-13.1622723290195,0,0,0
"2",2,0.251490914113177,7.89736339741169,2.6324544658039,1.37499989523801,0.189899007722987,0,0.493598544383261
"3",3,0.33640440028695,9.13940645959913,2.38404488898497,0.702022887550219,0.189898968660668,0,0.449586697158322
"4",4,0.37757086175265,9.72102540515401,2.26772162361294,0.37986731484969,0.18989898987474,0,0.429548143554797
"5",5,0.396604304562225,9.98636131970501,2.21465443972439,0.231632916913262,0.189898989835112,0,0.420489911245212
"6",6,0.405244967760948,10.106142997548,2.1906981033491,0.164473264544361,0.189898989802437,0,0.416414518878483
"7",7,0.409137708404906,10.1599749403173,2.17993171432194,0.13424317229741,0.189898989783266,0,0.414585468195133
"8",8,0.410885628000585,10.1841205488287,2.17510259238061,0.120674452377682,0.189898989773583,0,0.413765548926925
"9",9,0.41166932885767,10.1949413329959,2.17293843543421,0.114591791145862,0.189898989769008,0,0.413398198040506
"10",10,0.412020481250244,10.1997887570445,2.17196895057268,0.111866544321456,0.189898989766909,0,0.41323365316058
"11",11,0.412177776028524,10.2019598982703,2.17153472230408,0.110645842161455,0.189898989765959,0,0.413159957893653
"12",12,0.412248225272643,10.2029322681111,2.17134024832535,0.110099121962138,0.189898989765532,0,0.413126953387093
"13",13,0.41227977626461,10.2033677396953,2.17125315400377,0.109854272680724,0.18989898976534,0,0.413112172611643
"14",14,0.412293906140512,10.2035627607123,2.17121414979826,0.1097446190957,0.189898989765254,0,0.413105553238548
"15",15,0.41230023402576,10.2036500980585,2.17119668232806,0.109695512199254,0.189898989765215,0,0.413102588853868
"16",16,0.412303067873851,10.203689210706,2.17118885979813,0.109673520428875,0.189898989765198,0,0.413101261302329
"17",17,0.41230433696705,10.2037067266614,2.17118535660686,0.109663671771612,0.18989898976519,0,0.413100666780464
"18",18,0.412304905309395,10.2037145708888,2.1711837877613,0.109659261214323,0.189898989765187,0,0.413100400533847
"19",19,0.412305159831966,10.2037180837938,2.17118308518027,0.109657286020441,0.189898989765185,0,0.413100281299799
"20",20,0.412305273815601,10.2037196569888,2.17118277054124,0.109656401463237,0.189898989765185,0,0.413100227902851
"21",21,0.412305324861242,10.2037203615175,2.17118262963549,0.109656005329275,0.189898989765184,0,0.413100203989933
"22",22,0.412305347721167,10.2037206770288,2.17118256653323,0.1096558279274,0.189898989765184,0,0.413100193280938
"23",23,0.412305357958597,10.2037208183251,2.17118253827396,0.109655748480973,0.189898989765184,0,0.413100188485096
"24",24,0.412305362543256,10.2037208816023,2.17118252561852,0.109655712902242,0.189898989765184,0,0.41310018633736
"25",25,0.412305364596418,10.2037209099399,2.171182519951,0.109655696968914,0.189898989765184,0,0.413100185375533
"26",26,0.412305365515892,10.2037209226304,2.1711825174129,0.10965568983344,0.189898989765184,0,0.413100184944794
"27",27,0.412305365927663,10.2037209283137,2.17118251627625,0.109655686637936,0.189898989765184,0,0.413100184751896
"28",28,0.412305366112069,10.2037209308588,2.17118251576722,0.109655685206878,0.189898989765184,0,0.41310018466551
"29",29,0.412305366194649,10.2037209319986,2.17118251553927,0.109655684566022,0.189898989765184,0,0.413100184626823
"30",30,0.412305366231632,10.2037209325091,2.17118251543718,0.109655684279015,0.189898989765184,0,0.413100184609498
"31",31,0.412305366248195,10.2037209327376,2.17118251539146,0.109655684150482,0.189898989765184,0,0.413100184601739
"32",32,0.412305366255613,10.20372093284,2.17118251537098,0.109655684092919,0.189898989765184,0,0.413100184598264
"33",33,0.412305366258933,10.2037209328859,2.17118251536182,0.109655684067152,0.189898989765184,0,0.413100184596708
"34",34,0.412305366260421,10.2037209329064,2.17118251535771,0.109655684055603,0.189898989765184,0,0.413100184596011
"35",35,0.412305366261089,10.2037209329156,2.17118251535587,0.109655684050426,0.189898989765184,0,0.413100184595699
"36",36,0.412305366261384,10.2037209329197,2.17118251535505,0.109655684048126,0.189898989765184,0,0.41310018459556
"37",37,0.41230536626152,10.2037209329215,2.17118251535468,0.109655684047079,0.189898989765184,0,0.413100184595497
"38",38,0.41230536626158,10.2037209329224,2.17118251535451,0.109655684046612,0.189898989765184,0,0.413100184595469
"39",39,0.412305366261606,10.2037209329227,2.17118251535444,0.109655684046408,0.189898989765184,0,0.413100184595456
"40",40,0.412305366261619,10.2037209329229,2.17118251535441,0.10965568404631,0.189898989765184,0,0.413100184595451
"41",41,0.412305366261623,10.203720932923,2.17118251535439,0.109655684046274,0.189898989765184,0,0.413100184595448
"42",42,0.412305366261626,10.203720932923,2.17118251535438,0.109655684046255,0.189898989765184,0,0.413100184595447
"43",43,0.412305366261627,10.203720932923,2.17118251535438,0.109655684046248,0.189898989765184,0,0.413100184595446
"44",44,0.412305366261628,10.203720932923,2.17118251535438,0.109655684046241,0.189898989765184,0,0.413100184595446
"45",45,0.412305366261625,10.203720932923,2.17118251535438,0.109655684046254,0.189898989765184,0,0.413100184595446
"46",46,0.41230536626163,10.203720932923,2.17118251535438,0.109655684046229,0.189898989765184,0,0.413100184595446
"47",47,0.412305366261628,10.203720932923,2.17118251535438,0.109655684046241,0.189898989765184,0,0.413100184595446
"48",48,0.412305366261628,10.203720932923,2.17118251535438,0.109655684046241,0.189898989765184,0,0.413100184595446
"49",49,0.412305366261627,10.203720932923,2.17118251535438,0.109655684046247,0.189898989765184,0,0.413100184595446
"50",50,0.412305366261628,10.203720932923,2.17118251535438,0.109655684046239,0.189898989765184,0,0.413100184595446
"51",51,0.412305366261628,10.203720932923,2.17118251535438,0.109655684046239,0.189898989765184,0,0.413100184595446
