"","year","time.oa","launches.oa","satellites.oa","debris.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path"
"1",2006,1,64,1881,4019,1704.50028392959,1704.50028392959,4634.99193007061,0.00431045449557945,1,2.75780806360023,1,0,1881,4019,1881,1881,78607.8664827727,0.00431045449557945,1,2.75780806360023,49,1881,43,18,21,0,0,0,4019,0.00443443535519108,70.44,161.019,0.196541752971631,0.437463901775567,0.00443443535519108,0.449275362318841,1.20646016903435,0.19210731761644,1,1.10354924415941,16.9596555223291,-6.60959064327485,-2770.14847607248,0
"2",2007,2,65,1903.51070544095,4339.60992445271,1831.13480708295,1743.93791150757,4924.89883649324,0.00447030152858245,1.04869392390687,2.53946621237933,2,65,1839.51070544095,4199.03122239832,1764.01839595291,1680.01751995515,81646.4362788824,0.00424531231195444,1.04869392390687,2.53946621237933,50,1918,59,22,6,1,0,0,6542,0.00562843063497183,73.868,185.503,0.228755375981188,0.39820380263392,0.00562843063497183,0.574468085106383,1.15205658959502,0.223126945346216,1.05299709422896,0.963347094451796,16.5782971365597,2.48366346797342,-2839.10412586305,21143.0757680422
"3",2008,3,65,1926.22604392495,6120.25272910589,2195.15086251538,1991.06654196407,5406.77423158309,0.00509763415078569,1.21379897785349,2.1984667802385,3,65,1864.05423593176,5880.89413800844,2119.68678552194,1922.61839956638,83595.1859667923,0.00483287683801663,1.21379897785349,2.1984667802385,51,1957,59,20,6,1,0,0,6933,0.00603563311350029,85.504,169.996,0.260364326911498,0.502976540624485,0.00603563311350029,0.517647058823529,0.916405664598416,0.254328693797998,1.0547825491199,0.965622373258221,15.461194121715,2.75963955538001,-2859.26552597412,21285.3094706755
"4",2009,4,77,1947.24993608905,7555.03944274596,2428.84567081839,2098.12821148333,5735.98415895955,0.00565175711956523,1.32112436115843,1.86641113003975,4,77,1886.98224806971,7222.27174905228,2349.22455998534,2029.3485023089,84798.2264103392,0.00534764475952071,1.32112436115843,1.86641113003975,52,2008,72,21,5,0,1,0,9175,0.00693753228032124,93.055,137.815,0.399618091985189,0.675216776112905,0.00693753228032124,0.591836734693878,0.810695545777548,0.392680559704867,1.05686846709537,0.967218538505898,14.78355310272,2.88022145649387,-2860.0048925268,20532.3678455747
"5",2010,5,77,1978.73406461821,7372.26375874819,2697.96046137698,2219.61874846549,6006.96592077225,0.00568724037937916,1.44108461101647,1.99432140829074,5,77,1920.438726468,6938.6280854078,2613.95194667472,2150.50473551635,86570.4583786405,0.00535404241856881,1.44108461101647,1.99432140829074,53,2033,60,35,6,0,0,0,9518,0.00678180603491688,101.507,136.162,0.381618341877078,0.745486993434292,0.00678180603491688,0.511904761904762,0.988005659761274,0.374836535842161,1.0622329699247,0.968862214289315,14.4116779619604,2.9905786135889,-2867.94092758857,23655.3513539829
"6",2011,6,77,2009.41330884166,7281.41439383555,2941.85994512104,2305.0242450878,6305.97898254349,0.00575309508437258,1.54514480408859,2.11655309483248,6,77,1953.11110436647,6763.89528549684,2854.86488641746,2236.86134024009,87780.7049925845,0.00539591943147304,1.54514480408859,2.11655309483248,54,2063,67,37,9,0,0,0,9662,0.00683078232376902,108.839,166.985,0.352498177460642,0.651789082851753,0.00683078232376902,0.540816326530612,1.2263700591942,0.345667395136873,1.06619365938198,0.970428551893556,13.9202343102607,3.04961249540652,-2856.09718761922,26500.9283338976
"7",2012,7,77,2039.2444030382,7273.54993247017,3135.11238455459,2339.46913154081,6509.72255426659,0.00584617173862078,1.62620670073822,2.35221465076661,7,77,1984.94900482173,6686.76459470902,3046.81684415573,2273.58163984082,88156.0291825528,0.00546908780244536,1.62620670073822,2.35221465076661,55,2095,63,31,6,0,0,0,9427,0.00654206309353886,114.545,186.885,0.315561245505721,0.612917034539958,0.00654206309353886,0.514851485148515,1.11917238075276,0.309019182412182,1.06894823228232,0.971836562914345,13.5422098941488,3.0499227343371,-2820.2435325202,30638.3272607351
"8",2013,8,159,2068.18881999855,7339.40238856713,3145.14616134052,2235.19665739513,6740.02421173944,0.00596345756470025,1.70712663259512,2.42461669505963,8,75.002605090047,2015.90806553432,6694.58464135768,3259.55777906265,2316.50685806023,87718.668011813,0.00556930658709078,1.70712663259512,2.42461669505963,56,2209,151,37,8,0,0,3,9410,0.00675067599600084,120.249,215.897,0.4413755650952,0.556973927382039,0.00675067599600084,0.792452830188679,1.15523985338577,0.4346248890992,1.07077200212376,1.03637720215628,13.0145924192719,-3.89672078023914,-2758.03428300186,32548.7909106722
"9",2014,9,164,2178.21290475651,7650.64001682401,3411.70848392827,2309.17859368987,7419.8976812358,0.00644171351026583,1.74872231686542,2.42305508233958,9,65.4474075395264,2043.95320422987,6770.84356475659,3415.72390940076,2311.89639170494,86682.1823882412,0.00568484777304894,1.74872231686542,2.42305508233958,57,2256,131,84,33,0,0,0,9130,0.00707092874183037,123.183,254.387,0.327655781378313,0.484234650355561,0.00707092874183037,0.676646706586826,1.17827945733382,0.320584852636483,1.13313737982661,1.00117695444714,11.6823959186731,-0.12985258220832,-2563.21837161532,59306.3440888109
"10",2015,10,92.1557737036615,2289.60837928646,8232.8163479087,2133.43990957657,2507.63376294831,7953.28571501838,0.00704624861385286,1.79657864849517,2.42305508233958,10,57.9407047246258,2061.55792557674,6884.1256339586,1341.47403549119,2296.97197276993,85396.3279665297,0.00578081434997732,1.79657864849517,2.42305508233958,58,2271,89,74,28,0,0,0,9331,0.00709100620212106,126.551,239.109,0.384916882714958,0.529260713733067,0.00709100620212106,0.727272727272727,0.939941899546754,0.377825876512837,1.21890242226521,0.628784541561066,10.7372387999684,24.3648986766723,-2382.541899107,94332.4291229169
