Rank,Country,Operator/Revenue,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,per sat.,$ per sat,$ per sat,$ per sat,,2000,Sats in Orbit,2001,Sats in Orbit,2002,Sats in Orbit,2003,Sats in Orbit,2004,Sats in Orbit,2005,Sats in Orbit,2006,Sats in Orbit,2007,Sats in Orbit,2008,Sats in Orbit,2009,Sats in Orbit,Share,2010,Sats in Orbit,2011,Sats in Orbit,,,,Rank,Country,Operator/Revenue
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2009,2010,2010,2011,2011,2012,in orb 12,,,,
15,Norway,Telenor,$38.0,$13.1,$26.1,$28.30,$17.47,$32.60,$35.50,$35.20,$31.35,$35.42,$43.50,$41.43,$43.85,$52.87,$32.18,,Telenor,$113.9,3,$39.2,3,$78.2,3,$84.9,3,52.4,3,$97.8,3,$106.5,3,$140.8,4,$125.4,4,$177.1,5,1.9%,$174.0,4,$165.7,4,$175,4,,16,Norway,Telenor
16,Thailand,Thiacom/Shin Sat,$32.5,$36.4,$38.5,$48.83,$41.50,$17.20,$24.46,$26.74,$32.05,$35.07,$42.73,$89.40,$119.85,$81.93,$66.75,,Thaicom/Shin Sat,$97.4,3,$109.1,3,$115.5,3,$146.5,3,124.5,3,$86.0,5,$122.3,5,$133.7,5,$128.2,4,$105.2,3,1.2%,$128.2,3,$178.8,2,$240,2,,17,Thailand,Thiacom/Shin Sat
17,Spain,Hispasat,$27.0,$31.6,$24.1,$23.10,$38.37,$19.60,$53.03,$62.87,$64.58,$54.10,$60.05,$48.56,$52.88,$39.61,$35.23,,Hispasat,$81.0,3,$94.9,3,$120.7,5,$115.5,5,115.1,3,$117.6,6,$159.1,3,$188.6,3,$193.7,3,$216.4,4,1.5%,$240.2,4,$242.8,5,$264,5,,18,Spain,Hispasat
,FSS Mean,,$38.8,$43.4,$37.6,$41.7,$40.42,$40.77,$43.69,$47.58,$46.13,$48.57,$49.29,$48.50,$50.84,$42.17,$45.01,,,"$6,011",155,"$6,158",142,"$5,971",159,"$6,512",156,"$6,549",162,"$6,522.9",160,"$7,034.5",161,"$7,993.3",168,"$7,934.8",172,"$8,597.5",177,68.1%,"$8,871.7",180,"$9,408.1",194,"$9,863",194,,,FSS Mean,
,China,China DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$117.4,5,,,,,,$178.0,8,,,,,China,China DBS
18,Australia,SingTel/Optus,,$17.2,$22.8,$30.18,$41.93,$33.00,$39.60,$43.05,$27.30,$47.32,$57.30,$64.40,,$70.25,$40.80,,SingTel/Optus,$73.3,,$85.9,5,$91.0,4,$120.7,4,167.7,4,$165.0,5,$158.4,4,$172.2,4,$163.8,6,$236.6,5,1.9%,$286.5,5,$322.0,5,,,,19,Australia,SingTel/Optus
19,South Korea,Korea Telecom,,$25.4,$34.7,$34.50,$58.40,$57.65,$59.95,$36.70,$28.50,$30.57,$30.57,,,,,,Korea Telecom,$53.5,,$76.3,3,$104.0,3,$103.5,3,116.8,2,$115.3,2,$119.9,2,$110.1,3,$85.5,3,$91.7,3,1.2%,$91.7,3,,,,,,20,South Korea,Korea Telecom
,Japan,BSS Corp Japan,,,$13.4,$18.50,$18.93,$15.63,$15.20,$22.10,$33.03,$22.77,$22.77,,,,,,BSS Corp Japan,,,$61.2,,$66.9,5,$74.0,4,75.7,4,$62.5,4,$60.8,4,$66.3,3,$99.1,3,$68.3,3,1.2%,$68.3,3,,,$209,11,,,Japan,BSS Corp Japan
,Sweden,SES Sirius Nordic Sat NSAB,$25.0,,$22.0,$31.70,$27.20,$22.95,$29.35,$34.70,,,,,,,$19.17,,SES Sirius Nordic Sat NSAB,$75.0,3,$67.6,,$66.0,3,$63.4,2,54.4,2,$45.9,2,$58.7,2,$69.4,2,,,,,,,,,,$205,8,,,Sweden,SES Sirius Nordic Sat NSAB
,Russia,Russian Sat Comm,$5.6,$5.5,$6.2,$2.73,$7.13,$13.05,$13.82,$14.64,$20.74,$17.91,$20.64,$20.82,,$16.07,$26.00,,Russian Sat Com RSCC,$56.0,10,$61.0,11,$62.0,10,$60.0,22,114.0,16,$143.5,11,$152.0,11,$161.0,11,$228.1,11,$197.0,11,4.2%,$227.0,11,$229.0,11,,,,,Russia,Russian Sat Comm
,India,Insat,$20.0,,,,,$5.70,$7.60,$10.91,$13.10,$14.06,$15.50,$20.00,,$20.91,$0.00,,China Satcom/DBS,$80.0,4,,,$55.0,,,,,,$57.0,10,$76.0,10,$120.0,11,$131.0,10,$140.6,10,3.8%,$155.0,10,$160.0,8,$166,4,,,India,Insat
