year,time.oa,launches.oa,satellites.oa,debris.oa,runaway.oa,kessler.oa,fleet_flowv.oa,fleet_pv.oa,fleet_vfn_path.oa,collision_rate.oa,returns.oa,costs.oa,start_time.oa,R_frac.oa,R_start_year.oa,time.opt,launches.opt,satellites.opt,debris.opt,runaway.opt,kessler.opt,fleet_flowv.opt,fleet_pv.opt,fleet_vfn_path.opt,collision_rate.opt,returns.opt,costs.opt,start_time.opt,R_frac.opt,R_start_year.opt,X,payloads_in_orbit,launch_successes,payloads_decayed,launch_failures,num_destr_asat,num_destr_satsat,num_destr_debsat,debris,risk.x,tot_rev,tot_cost,r_s,r_s_raw,risk.y,share_in_LEO,Ft_Ft,implied_r
2010,5,77,1882.3241735245,6791.12480785178,yes,no,2559.02565097206,2105.31673611062,16607.9115795557,5.62931966381527,1.44108461101647,1.99432140829074,0,0.25,2030,5,53.3607056305819,1143.08617347309,2159.74053546153,no,no,1540.86549605721,1267.67385692768,63923.4130547889,1.81279366680601,1.44108461101647,1.99432140829074,-1,0.25,2030,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.381618341877078,0.745486993434292,5.69780954361475,0.511904761904762,0.988005659761274,0.374836535842161
2011,6,77,1891.35810690661,7164.25738524111,no,no,2759.44756325548,2162.0993708083,16125.5418906301,5.75918856253109,1.54514480408859,2.11655309483248,0,0.25,2030,6,48.6118884627413,1156.72527477645,2240.12543053207,no,no,1684.4184051073,1319.78589568264,65492.9675217402,1.86373414404928,1.54514480408859,2.11655309483248,-1,0.25,2030,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.352498177460642,0.651789082851753,5.77111052579584,0.540816326530612,1.2263700591942,0.345667395136873
2011,6,77,1891.35810690661,7164.25738524111,no,no,2759.44756325548,2162.0993708083,16125.5418906301,5.75918856253109,1.54514480408859,2.11655309483248,0,0.25,2030,6,0,1642.15490646433,5344.39048409799,no,no,2537.36712123193,1988.09353342197,70651.6779176103,4.1731626223565,1.54514480408859,2.11655309483248,0,0.25,2030,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.352498177460642,0.651789082851753,5.77111052579584,0.540816326530612,1.2263700591942,0.345667395136873
2011,6,77,1891.35810690661,7164.25738524111,no,no,2759.44756325548,2162.0993708083,16125.5418906301,5.75918856253109,1.54514480408859,2.11655309483248,0,0.25,2030,2,0,1814.35810690661,6793.53524641521,no,no,1902.70632250414,1812.10125952775,69581.7375907298,5.28326258117124,1.54514480408859,2.11655309483248,4,0.25,2030,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.352498177460642,0.651789082851753,5.77111052579584,0.540816326530612,1.2263700591942,0.345667395136873
2012,7,77,1899.96641184582,7486.94252821978,no,no,2908.6175820122,2170.4552226255,17224.4464051846,5.87650425384608,1.62620670073822,2.35221465076661,0,0.25,2030,3,0.847227598790198,1748.98417984704,6629.95707329836,no,no,2121.05260804903,1923.85724086079,70812.4657410825,4.9263581684098,1.62620670073822,2.35221465076661,4,0.25,2030,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.315561245505721,0.612917034539958,5.66013796698894,0.514851485148515,1.11917238075276,0.309019182412182
2012,7,77,1899.96641184582,7486.94252821978,no,no,2908.6175820122,2170.4552226255,17224.4464051846,5.87650425384608,1.62620670073822,2.35221465076661,0,0.25,2030,7,50.9311964544731,1165.11327082152,2289.26224888833,no,no,1774.91390164769,1324.46808111389,66965.1242158516,1.89536412659537,1.62620670073822,2.35221465076661,-1,0.25,2030,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.315561245505721,0.612917034539958,5.66013796698894,0.514851485148515,1.11917238075276,0.309019182412182
2012,7,77,1899.96641184582,7486.94252821978,no,no,2908.6175820122,2170.4552226255,17224.4464051846,5.87650425384608,1.62620670073822,2.35221465076661,0,0.25,2030,7,0,1583.57414887723,5114.7921867893,no,no,2575.21889201997,1921.66798693482,71426.1788398442,3.87365255813001,1.62620670073822,2.35221465076661,0,0.25,2030,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.315561245505721,0.612917034539958,5.66013796698894,0.514851485148515,1.11917238075276,0.309019182412182
2013,8,159,1908.17536235575,7768.93454459637,no,no,2871.98292622485,2041.06464612048,15944.6898454876,5.98337053098908,1.70712663259512,2.42461669505963,0,0.25,2030,4,159,1686.97400583709,6349.97994862688,no,no,1931.94308607609,1668.88507597546,71617.7069868663,4.57453918288502,1.70712663259512,2.42461669505963,4,0.25,2030,56,2209,151,37,8,0,0,3,9410,5.74487965357175,120.249,215.897,0.4413755650952,0.556973927382039,5.74487965357175,0.792452830188679,1.15523985338577,0.4346248890992
2013,8,159,1908.17536235575,7768.93454459637,no,no,2871.98292622485,2041.06464612048,15944.6898454876,5.98337053098908,1.70712663259512,2.42461669505963,0,0.25,2030,8,46.990357693621,1175.51137781386,2344.73764191775,no,no,1892.81317421384,1345.18698433811,68445.4478063271,1.93418302778013,1.70712663259512,2.42461669505963,-1,0.25,2030,56,2209,151,37,8,0,0,3,9410,5.74487965357175,120.249,215.897,0.4413755650952,0.556973927382039,5.74487965357175,0.792452830188679,1.15523985338577,0.4346248890992
2013,8,159,1908.17536235575,7768.93454459637,no,no,2871.98292622485,2041.06464612048,15944.6898454876,5.98337053098908,1.70712663259512,2.42461669505963,0,0.25,2030,8,0,1527.22878526832,4821.52410566019,no,no,2607.17293339744,1852.86912818615,72192.6881934079,3.58305597490378,1.70712663259512,2.42461669505963,0,0.25,2030,56,2209,151,37,8,0,0,3,9410,5.74487965357175,120.249,215.897,0.4413755650952,0.556973927382039,5.74487965357175,0.792452830188679,1.15523985338577,0.4346248890992
2014,9,164,1998.00832581294,8412.70608150993,yes,no,3096.58071512831,2095.88771569778,17077.8101723453,6.62482671561657,1.74872231686542,2.42305508233958,0,0.25,2030,9,42.7893975681051,1181.58573054314,2377.16055764644,no,no,1962.58426904288,1328.35428458652,69917.5784152953,1.95704145776178,1.74872231686542,2.42305508233958,-1,0.25,2030,57,2256,131,84,33,0,0,0,9130,5.88826953659207,123.183,254.387,0.327655781378313,0.484234650355561,5.88826953659207,0.676646706586826,1.17827945733382,0.320584852636483
2014,9,164,1998.00832581294,8412.70608150993,yes,no,3096.58071512831,2095.88771569778,17077.8101723453,6.62482671561657,1.74872231686542,2.42305508233958,0,0.25,2030,9,47.2787759723451,1473.03594684572,4491.50806697005,no,no,2461.3717553875,1665.95328863191,72986.0199015506,3.30586830687521,1.74872231686542,2.42305508233958,0,0.25,2030,57,2256,131,84,33,0,0,0,9130,5.88826953659207,123.183,254.387,0.327655781378313,0.484234650355561,5.88826953659207,0.676646706586826,1.17827945733382,0.320584852636483
2014,9,164,1998.00832581294,8412.70608150993,yes,no,3096.58071512831,2095.88771569778,17077.8101723453,6.62482671561657,1.74872231686542,2.42305508233958,0,0.25,2030,5,0,1785.51648194162,6751.40270252589,no,no,2573.08032484234,2116.87955108609,71170.1483323993,5.13057874560778,1.74872231686542,2.42305508233958,4,0.25,2030,57,2256,131,84,33,0,0,0,9130,5.88826953659207,123.183,254.387,0.327655781378313,0.484234650355561,5.88826953659207,0.676646706586826,1.17827945733382,0.320584852636483
2015,10,164,2089.2372265606,9204.9271783352,yes,no,3091.99420283005,1993.12703203799,17556.2436092252,7.34329037686238,1.71473594548552,2.99082907438955,0,0.25,2030,10,0,1468.18994726679,4373.23659305931,no,no,2517.55807737886,1622.84038377455,74117.5326263137,3.26628082679943,1.71473594548552,2.99082907438955,0,0.25,2030,58,2271,89,74,28,0,0,0,9331,5.96119901784433,126.551,239.109,0.384916882714958,0.529260713733067,5.96119901784433,0.727272727272727,0.939941899546754,0.377825876512837
2015,10,164,2089.2372265606,9204.9271783352,yes,no,3091.99420283005,1993.12703203799,17556.2436092252,7.34329037686238,1.71473594548552,2.99082907438955,0,0.25,2030,6,0,1721.24817747582,6527.5309331619,no,no,2659.57767797371,2083.84870244783,71919.0333385593,4.77200545552035,1.71473594548552,2.99082907438955,4,0.25,2030,58,2271,89,74,28,0,0,0,9331,5.96119901784433,126.551,239.109,0.384916882714958,0.529260713733067,5.96119901784433,0.727272727272727,0.939941899546754,0.377825876512837
2015,10,164,2089.2372265606,9204.9271783352,yes,no,3091.99420283005,1993.12703203799,17556.2436092252,7.34329037686238,1.71473594548552,2.99082907438955,0,0.25,2030,10,53.8121103999744,1183.23525682902,2387.08975014244,no,no,1867.99320251201,1204.12507377348,71294.4300517727,1.96342830835123,1.71473594548552,2.99082907438955,-1,0.25,2030,58,2271,89,74,28,0,0,0,9331,5.96119901784433,126.551,239.109,0.384916882714958,0.529260713733067,5.96119901784433,0.727272727272727,0.939941899546754,0.377825876512837
2015,10,164,2089.2372265606,9204.9271783352,yes,no,3091.99420283005,1993.12703203799,17556.2436092252,7.34329037686238,1.71473594548552,2.99082907438955,0,0.25,2030,1,0,2089.2372265606,9204.9271783352,yes,no,2089.2372265606,2089.2372265606,72102.4487147522,7.34329037686238,1.71473594548552,2.99082907438955,9,0.25,2030,58,2271,89,74,28,0,0,0,9331,5.96119901784433,126.551,239.109,0.384916882714958,0.529260713733067,5.96119901784433,0.727272727272727,0.939941899546754,0.377825876512837
