"","debris","launch_successes","num_destr_asat","SSfrags","SDfrags"
"192",0.51850241579126,4.77031335608814,144.087027530302,308.071441046484,1140.39010163198
"193",0.513315321413229,4.82934926796647,144.234733708356,336.326793929209,1148.28628551942
"194",0.695764991020067,3.34502665078453,114.585298036944,340.018910109065,0
"195",0.514086429439289,4.82031998769762,144.218180837127,330.639374458925,931.748903060883
"196",0.693419277048553,3.37561072560561,114.623164361998,337.423992322108,0
"197",0.690903832620607,3.40867197430989,114.655842917173,349.477180580739,0
"198",0.691031893613706,3.40693432807595,114.654619834259,337.164687163079,0
"199",0.691309020655194,3.40325496068797,114.651504674252,329.678459242054,0
"200",0.690351639052632,3.41594286097769,114.662026983757,348.494007542376,0
"201",0.510766898946811,4.85873515514465,144.282890848817,332.239452953675,929.133057827109
"202",0.513911758153796,4.82234739827534,144.220956621496,360.844578030318,835.112753645849
"203",0.685083726133572,3.48702350564476,114.662093018197,344.857786408403,0
"204",0.697301954830947,3.32388700882795,114.59642921868,335.049030089979,0
"205",0.515708529728921,4.80224592515324,144.163210487339,308.352935233416,1145.04090126206
"206",0.514466307471296,4.81652504689413,144.191769941551,332.665394403343,993.101651871396
"207",0.513696990042244,4.82481363804409,144.2267781964,331.127270569342,938.471890004122
"208",0.693739850911122,3.37147224138975,114.618128845592,350.260377673704,0
"209",0.695401552176686,3.3497438930815,114.591658447708,337.346609903275,0
"210",0.51348338658807,4.82740944626454,144.231165285085,336.229434355064,1148.01369319108
"211",0.688556744348593,3.43969523745649,114.679216375814,356.948508694624,0
"212",0.691819688642659,3.39663495839856,114.644738842963,351.069810547265,0
"213",0.69537516454011,3.35018869251615,114.591595219898,362.760643570796,0
"214",0.688317445721153,3.44275239977847,114.681787095167,330.388469681331,0
"215",0.689187460047632,3.43126535786026,114.673999385448,337.059833019428,0
"216",0.689436702739411,3.42798915616569,114.671540671571,341.310045406241,0
"217",0.693220002097633,3.37818640049108,114.62622277147,330.23680333406,0
"218",0.520733840549933,4.74542849013716,144.002533338759,307.61189583613,1137.26663330036
"219",0.690055468539492,3.41987338084518,114.665051512791,354.523589193285,0
"220",0.691179697462114,3.40511734780487,114.652237005961,369.194039674383,0
"221",0.517687843408168,4.77953660636656,144.109735060482,327.683669585867,912.746892522327
"222",0.691737644418764,3.3976730405512,114.64597352886,341.480774495091,0
"223",0.69462948564373,3.35976383469741,114.604707768174,328.42720228892,0
"224",0.511543403046111,4.84970248280349,144.269565856972,331.157246921496,913.824984629375
