"","npv_welfare_gain.rem","npv_welfare_gain.norem","start_year","year","npv_welfare_loss.norem","npv_welfare_loss.rem","coi_effect_of_removal","coi_effect_of_removal_pc"
"1",2289.99757896214,2307.6416160265,2020,2030,0,0,0,0
"2",2193.91603005673,2119.35376179783,2025,2030,188.287854228664,96.0815489054066,-92.2063053232578,-4.02648047187225
"3",1961.84320721661,1949.08028766613,2030,2030,358.561328360368,328.154371745526,-30.4069566148419,-1.32781610313417
"4",2528.51875816096,2608.4581216883,2015,2030,-300.8165056618,-238.521179198819,62.2953264629805,2.72032280886575
"5",2307.21346748112,2338.76960003996,2020,2031,0,0,0,0
"6",2194.61325890911,2144.26312507046,2025,2031,194.506474969498,112.600208572008,-81.9062663974892,-3.55000816144289
"7",2032.32417525687,1966.67484509664,2030,2031,372.094754943323,274.889292224243,-97.2054627190798,-4.21311092749485
"8",2566.27793094245,2654.04920723051,2015,2031,-315.279607190549,-259.06446346133,56.2151437292191,2.43649512806423
"9",2336.6565574246,2379.69423396211,2020,2032,0,0,0,0
"10",2201.68747953032,2165.66904180299,2025,2032,214.025192159126,134.969077894277,-79.0561142648489,-3.38330055453175
"11",2101.9264526391,1993.86657159635,2030,2032,385.827662365764,234.730104785503,-151.097557580261,-6.46639991230874
"12",2612.18186489904,2704.59346945924,2015,2032,-324.89923549713,-275.525307474436,49.3739280226932,2.11301604704424
"13",2353.95293707197,2407.71056152126,2020,2033,0,0,0,0
"14",2191.47174748073,2169.59688109028,2025,2033,238.113680430978,162.481189591245,-75.6324908397328,-3.21299927660449
"15",2045.17959720593,1968.1690459335,2030,2033,439.54151558776,308.773339866042,-130.768175721718,-5.55525871661554
"16",2639.71025612947,2737.61855572149,2015,2033,-329.90799420023,-285.757319057498,44.1506751427328,1.87559719004624
"17",2384.84891331365,2451.185965491,2020,2034,0,0,0,0
"18",2195.79899208719,2187.13402907197,2025,2034,264.051936419036,189.049921226464,-75.0020151925723,-3.14493781026824
"19",2070.0440376045,2020.52681964187,2030,2034,430.659145849135,314.804875709158,-115.854270139977,-4.85792913308718
"20",2681.98118698031,2777.97714501676,2015,2034,-326.791179525761,-297.132273666658,29.6589058591039,1.24363877701141
"21",2418.49747148581,2496.090296661,2020,2035,0,0,0,0
"22",2205.54592991825,2210.85797131387,2025,2035,285.232325347125,212.951541567562,-72.2807837795622,-2.9886648479792
"23",2074.61562378867,2037.63685056669,2030,2035,458.453446094306,343.881847697145,-114.571598397162,-4.73730486585022
"24",1873.08566874562,1866.65531844611,2035,2035,629.434978214883,545.411802740194,-84.0231754746897,-3.47418909737664
"25",2724.13646975453,2817.12769075691,2015,2035,-321.037394095914,-305.638998268721,15.3983958271933,0.636692657682759
"26",2462.23236578873,2548.12574549469,2020,2036,0,0,0,0
"27",2227.42472887377,2244.92476057941,2025,2036,303.200984915287,234.807636914962,-68.3933480003252,-2.77769673368812
"28",2083.09691765887,2064.83932290952,2030,2036,483.286422585177,379.135448129862,-104.150974455315,-4.22994092281588
"29",1926.73002006146,1891.79530700305,2035,2036,656.330438491647,535.502345727265,-120.828092764382,-4.90725791940749
"30",2772.17740390696,2869.57889053918,2015,2036,-321.453145044486,-309.945038118228,11.5081069262578,0.467385088676284
"31",2491.19518288866,2583.48203031922,2020,2037,0,0,0,0
"32",2239.53468733333,2268.7166274513,2025,2037,314.765402867923,251.660495555333,-63.1049073125896,-2.53311774790029
"33",2076.47701285707,2068.97738986677,2030,2037,514.504640452455,414.718170031583,-99.7864704208719,-4.00556612770762
"34",2002.26787953172,1903.44538658691,2035,2037,680.03664373231,488.927303356938,-191.109340375372,-7.67139169536173
"35",2866.16264089268,2969.32528751955,2015,2037,-385.843257200329,-374.967458004021,10.875799196308,0.436569533812962
"36",2527.84056698267,2626.23284339599,2020,2038,0,0,0,0
"37",2263.739652134,2304.49110637476,2025,2038,321.74173702123,264.100914848677,-57.6408221725528,-2.28023962133637
"38",2076.53001144994,2079.59396721784,2030,2038,546.638876178156,451.310555532737,-95.3283206454189,-3.77113659344451
"39",2035.88043825857,1902.22923242302,2035,2038,724.003610972974,491.960128724106,-232.043482248869,-9.17951413865648
"40",2842.64660101538,2945.60249441039,2015,2038,-319.369651014401,-314.806034032711,4.56361698169076,0.180534209368199
"41",2565.44434803987,2663.79514305564,2020,2039,0,0,0,0
"42",2288.03798849113,2343.29375212692,2025,2039,320.501390928726,277.406359548742,-43.0950313799835,-1.67982717742095
"43",2077.93649345222,2090.95315429443,2030,2039,572.841988761217,487.507854587648,-85.3341341735691,-3.3262905990835
