"","year","pi_t","F_t","F_hat"
"1",2006,70.44,161.02,194.26
"2",2007,73.87,185.5,139.73
"3",2008,85.5,170,139.72
"4",2009,93.06,137.81,110.4
"5",2010,101.51,136.16,147.21
"6",2011,108.84,166.99,152
"7",2012,114.55,186.88,192.64
"8",2013,120.25,215.9,229.07
"9",2014,123.18,254.39,222.13
