"","S2","SD"
"287",1.45584469973553e-06,0
"288",1.1192090511322e-06,1.11999973297119e-07
"289",1.46426476016156e-06,0
"290",1.41221651915296e-06,0
"291",1.5660438544137e-06,0
"292",1.49625722437993e-06,0
"293",1.50486649863634e-06,0
"294",1.38660127537124e-06,0
"295",1.54236104623167e-06,0
"296",1.19395276658134e-06,1.11999956554493e-07
"297",1.22821600140308e-06,1.11999948879513e-07
"298",1.38693620910816e-06,0
"299",1.54308311347991e-06,0
"300",1.49464933048546e-06,0
"301",1.43275470593759e-06,0
"302",1.03741350918908e-06,1.49413772771946e-07
"303",1.19435592030906e-06,1.11999956464187e-07
"304",1.41168103299247e-06,0
"305",1.52936924340753e-06,0
"306",1.2416145389437e-06,1.11999945878235e-07
"307",1.13287303290855e-06,1.33873298389404e-07
"308",1.1192090511322e-06,1.11999973297119e-07
"309",1.54753206832927e-06,0
"310",1.50985476612138e-06,0
"311",1.1192090511322e-06,1.11999973297119e-07
"312",1.14219992093688e-06,1.4320020505289e-07
"313",1.53230247272804e-06,0
"314",1.13960345740787e-06,1.40603736336135e-07
"315",1.49930147971625e-06,0
"316",1.50343078312347e-06,0
"317",1.46407970641635e-06,0
"318",1.50690948782548e-06,0
"319",1.54059422688984e-06,0
"320",1.43872343899358e-06,0
"321",1.13990753352993e-06,1.40907813065741e-07
"322",1.60973712649669e-06,0
"323",1.45758381186923e-06,0
"324",1.1192090511322e-06,1.11999973297119e-07
"325",1.48084396676176e-06,0
"326",1.53222786069532e-06,0
"327",1.44408724826754e-06,0
"328",1.13977360955377e-06,1.40773888821998e-07
"329",1.55254266095965e-06,0
"330",1.1192090511322e-06,1.11999973297119e-07
"331",1.46029118272799e-06,0
"332",1.42448446694659e-06,0
"333",1.51798406360315e-06,0
"334",1.5702649716317e-06,0
"335",1.47616320563403e-06,0
"336",1.48685224293282e-06,0
"337",1.4492215626228e-06,0
"338",1.13711820946441e-06,1.38118483427143e-07
"339",1.22086783455877e-06,1.11999950525506e-07
"340",1.53108331022918e-06,0
"341",1.3922723916692e-06,0
"342",1.54203982218638e-06,0
"343",1.50078643885204e-06,0
"344",1.19833064114198e-06,1.11999955573848e-07
"345",1.45766718438497e-06,0
"346",1.51245247146402e-06,0
"347",1.12399702541421e-06,1.24997273160758e-07
"348",1.44758500631246e-06,0
"349",1.22555181613037e-06,1.11999949476292e-07
"350",1.14314775708964e-06,1.44148043099431e-07
"351",1.50307560532869e-06,0
"352",1.14269289903128e-06,1.43693184132265e-07
"353",1.48785376403889e-06,0
"354",1.39041015786366e-06,0
"355",1.56526506666782e-06,0
"356",1.45095944035385e-06,0
"357",1.57970872384361e-06,0
"358",1.21752130991123e-06,1.11999951275129e-07
"359",1.50737721261e-06,0
"360",1.48834465018528e-06,0
"361",1.19434079660699e-06,1.11999956467574e-07
"362",1.38124615979519e-06,0
"363",1.13423020976877e-06,1.35230477961268e-07
"364",1.13480915562978e-06,1.35809424979013e-07
"365",1.1396149307964e-06,1.40615209747593e-07
"366",1.1192090511322e-06,1.11999973297119e-07
"367",1.5001247124629e-06,0
"368",1.53745813391268e-06,0
"369",1.44175352112681e-06,0
"370",1.45182929271298e-06,0
"371",1.40872851372473e-06,0
"372",1.52930329869152e-06,0
"373",1.13614355427177e-06,1.37143826287138e-07
"374",1.1192090511322e-06,1.11999973297119e-07
"375",1.46282255302753e-06,0
"376",1.49380804513908e-06,0
"377",1.45699990972301e-06,0
"378",1.1192090511322e-06,1.11999973297119e-07
"379",1.14159926059377e-06,1.4259954350966e-07
"380",1.46114936531545e-06,0
"381",1.51137887726202e-06,0
"382",1.49349601218852e-06,0
"383",1.45773486023916e-06,9.20134924055286e-09
"384",1.50547186716586e-06,0
"385",1.54334785755695e-06,0
"386",1.1192090511322e-06,1.11999973297119e-07
"387",1.14133300884838e-06,1.42333291232296e-07
"388",1.1192090511322e-06,1.11999973297119e-07
"389",1.54713862885618e-06,0
"390",1.5840728106884e-06,0
"391",1.59698887379911e-06,0
"392",1.51635887880164e-06,0
"393",1.21754225037594e-06,1.11999951270438e-07
"394",1.20760793562466e-06,1.11999953495729e-07
"395",1.57003890089259e-06,0
"396",1.1049922122693e-06,1.05992422044155e-07
"397",1.51259296087934e-06,0
"398",1.12391373363064e-06,1.24913981210772e-07
"399",1.45434746402866e-06,0
"400",1.1192090511322e-06,1.11999973297119e-07
"401",1.48576827253803e-06,0
"402",1.19750756059766e-06,1.11999955758218e-07
"403",1.51529830580816e-06,0
"404",1.1192090511322e-06,1.11999973297119e-07
"405",1.51752655131029e-06,0
"406",1.1192090511322e-06,1.11999973297119e-07
"407",1.1432493517214e-06,1.44249637934176e-07
"408",1.2075462848775e-06,1.11999953509539e-07
"409",1.51711118899396e-06,0
"410",1.48999570560066e-06,0
"411",1.55250733060856e-06,0
"412",1.46529565097776e-06,0
"413",1.1192090511322e-06,1.11999973297119e-07
"414",1.49037156287398e-06,0
"415",1.12450199079983e-06,1.25502239555302e-07
"416",1.11130595085504e-06,1.12306173244776e-07
"417",1.50953550998564e-06,0
"418",1.60412629097551e-06,0
"419",1.14004726839419e-06,1.41047548209191e-07
"420",1.50853324767128e-06,0
"421",1.49619996090814e-06,0
"422",1.04107434255006e-06,1.53074612634573e-07
"423",1.53866199570898e-06,0
"424",1.12434157760895e-06,1.25341826043921e-07
"425",1.1192090511322e-06,1.11999973297119e-07
"426",1.6358694807241e-06,0
"427",1.47636509572648e-06,0
"428",1.1192090511322e-06,1.11999973297119e-07
"429",1.43563298411516e-06,0
"430",1.44469336875952e-06,0
"431",1.22975927449094e-06,1.1199994853382e-07
"432",1.21400831268373e-06,1.11999952062042e-07
"433",1.13940951058442e-06,1.40409789125184e-07
"434",1.44180963935209e-06,0
"435",1.43782250465917e-06,0
"436",1.45961371506936e-06,0
"437",1.50376060888562e-06,0
"438",1.50109880647056e-06,0
"439",1.1192090511322e-06,1.11999973297119e-07
"440",1.54634110950816e-06,0
"441",1.5233803989024e-06,0
"442",1.43457406637338e-06,0
"443",1.2184194213931e-06,1.11999951073952e-07
"444",1.1192090511322e-06,1.11999973297119e-07
"445",1.51407877451018e-06,0
"446",1.43662885730748e-06,5.07887329761621e-08
"447",1.1192090511322e-06,1.11999973297119e-07
"448",1.12796073779164e-06,1.28960993457705e-07
"449",1.57281367731628e-06,0
"450",1.48672001722324e-06,0
"451",1.12321814134848e-06,1.2421838753882e-07
"452",1.54289059674346e-06,0
"453",1.1192090511322e-06,1.11999973297119e-07
"454",1.1192090511322e-06,1.11999973297119e-07
"455",1.14335919429863e-06,1.44359480730869e-07
"456",1.12791749387635e-06,1.28917749456019e-07
"457",1.13809759203831e-06,1.3909786795785e-07
"458",1.20698384632858e-06,1.11999953635526e-07
"459",1.45855653615472e-06,0
"460",1.21664244853183e-06,1.11999951471994e-07
"461",1.1192090511322e-06,1.11999973297119e-07
"462",1.53001151692067e-06,0
"463",1.1192090511322e-06,1.11999973297119e-07
"464",1.1192090511322e-06,1.11999973297119e-07
"465",1.52207848747848e-06,0
"466",1.44600460286122e-06,0
"467",1.53180492346609e-06,0
"468",1.14424174347503e-06,1.45242031670607e-07
"469",1.13913569178833e-06,1.40135969781996e-07
"470",1.63260447338082e-06,0
"471",1.1192090511322e-06,1.11999973297119e-07
"472",1.45676724698696e-06,1.29270715452317e-08
"473",1.19853980187288e-06,1.11999955526995e-07
"474",1.13333202825883e-06,1.34332294656755e-07
"475",1.20486195997134e-06,1.11999954110829e-07
"476",1.1327551970719e-06,1.33755462317316e-07
"477",1.54139872562085e-06,0
"478",1.1192090511322e-06,1.11999973297119e-07
"479",1.4547807608854e-06,0
"480",1.1192090511322e-06,1.11999973297119e-07
"481",1.45484467481188e-06,0
"482",1.45278168428781e-06,0
"483",1.53794254017092e-06,0
"484",1.43141211276907e-06,5.942439478653e-08
"485",1.1192090511322e-06,1.11999973297119e-07
"486",1.48136188870019e-06,0
"487",1.50342750948569e-06,0
"488",1.1192090511322e-06,1.11999973297119e-07
"489",1.44680508880093e-06,3.18625912521433e-08
"490",1.39602292438183e-06,0
"491",1.13743721591498e-06,1.38437490515088e-07
"492",1.1192090511322e-06,1.11999973297119e-07
"493",1.14183871711224e-06,1.42839000506565e-07
"494",1.1192090511322e-06,1.11999973297119e-07
"495",1.12896303972145e-06,1.29963297390115e-07
"496",1.4238633841601e-06,0
"497",1.55365426951415e-06,0
"498",1.45369598788411e-06,0
"499",1.47481639125774e-06,0
"500",1.55153045756547e-06,0
"501",1.23129262411413e-06,1.11999948190349e-07
"502",1.13633943072287e-06,1.37339703129601e-07
"503",1.22295385420651e-06,1.11999950058237e-07
"504",1.48624552027721e-06,0
"505",1.1192090511322e-06,1.11999973297119e-07
"506",1.50300800302015e-06,0
"507",1.43981602590213e-06,0
"508",1.49679761943172e-06,0
"509",1.50818077440813e-06,0
"510",1.53934243697797e-06,0
"511",1.43490477115107e-06,5.81993413543771e-08
"512",1.22503601369973e-06,1.11999949591832e-07
"513",1.47326915067734e-06,0
"514",1.19765260197612e-06,1.11999955725729e-07
"515",1.4656841160321e-06,0
"516",1.47364313583249e-06,0
"517",1.1192090511322e-06,1.11999973297119e-07
"518",1.1192090511322e-06,1.11999973297119e-07
"519",1.36483565652977e-06,0
"520",1.46254025714871e-06,0
"521",1.50086696860496e-06,0
"522",1.4895909595567e-06,0
"523",1.1433420532732e-06,1.44342339671197e-07
"524",1.1192090511322e-06,1.11999973297119e-07
"525",1.50114680172347e-06,0
"526",1.37589138719316e-06,0
"527",1.0596045255661e-06,1.1199998664856e-07
"528",1.53080249821924e-06,0
"529",1.22511660627736e-06,1.11999949573779e-07
"530",1.63845282475731e-06,0
"531",1.21063251641148e-06,1.11999952818222e-07
"532",1.13352122046773e-06,1.34521487243662e-07
"533",1.35997018729142e-06,0
"534",1.4958234440124e-06,0
"535",1.45132118176182e-06,0
"536",1.46812918276466e-06,0
"537",1.21738619853549e-06,1.11999951305394e-07
"538",1.1192090511322e-06,1.11999973297119e-07
"539",1.22240018402781e-06,1.11999950182259e-07
"540",1.48991291112473e-06,0
"541",1.1192090511322e-06,1.11999973297119e-07
"542",1.60172787786267e-06,0
"543",1.52956722988206e-06,0
"544",1.20881938446174e-06,1.11999953224364e-07
"545",1.57954251141183e-06,0
"546",1.1927111783943e-06,1.1199995683261e-07
"547",1.54785732791906e-06,0
"548",1.22169954948408e-06,1.11999950339202e-07
"549",1.1970715989381e-06,1.11999955855874e-07
"550",1.22198029044801e-06,1.11999950276315e-07
"551",1.23211534030468e-06,1.1199994800606e-07
"552",1.47939022602857e-06,0
"553",1.43888192594388e-06,0
"554",1.59418963931474e-06,0
"555",1.38635986512734e-06,0
"556",1.44635359280708e-06,0
"557",1.49149874734697e-06,0
"558",1.44169186568997e-06,3.87706176191522e-08
"559",1.54836668475431e-06,0
"560",1.1192090511322e-06,1.11999973297119e-07
"561",1.55606228080547e-06,0
"562",1.1192090511322e-06,1.11999973297119e-07
"563",1.51896463580833e-06,0
"564",1.48971070801635e-06,0
"565",1.14230098945664e-06,1.43301273774582e-07
"566",1.57621611916112e-06,0
"567",1.1192090511322e-06,1.11999973297119e-07
"568",1.47784596391704e-06,0
"569",1.39058292898901e-06,0
"570",1.1192090511322e-06,1.11999973297119e-07
"571",1.22419662016199e-06,1.11999949779857e-07
"572",1.51332008958053e-06,0
"573",1.13969699229358e-06,1.40697271408725e-07
"574",1.1192090511322e-06,1.11999973297119e-07
"575",1.21155091079022e-06,1.11999952612501e-07
"576",1.1192090511322e-06,1.11999973297119e-07
"577",1.62593290473189e-06,0
"578",1.53084685068872e-06,0
"579",1.13931855198854e-06,1.40318830347561e-07
"580",1.17161288552708e-06,9.26076625814712e-08
"581",1.22050776544343e-06,1.11999950606162e-07
"582",1.37591399792857e-06,0
"583",1.49571594228904e-06,0
"584",1.1361099070435e-06,1.37110178991643e-07
"585",1.51106017829301e-06,0
"586",1.45235914238433e-06,9.58796451443554e-09
"587",1.1192090511322e-06,1.11999973297119e-07
"588",1.1192090511322e-06,1.11999973297119e-07
"589",1.5367431634579e-06,0
"590",1.39274042161022e-06,0
"591",1.13594631476685e-06,1.36946586388126e-07
"592",1.50480849047161e-06,0
"593",1.69440225596598e-06,0
"594",1.53893502609005e-06,0
"595",1.20993853569269e-06,1.11999952973674e-07
"596",1.52640634120791e-06,0
"597",1.45763483948146e-06,0
"598",1.54430087215106e-06,0
"599",1.50340178532235e-06,0
"600",1.13696633076681e-06,1.37966604426082e-07
"601",1.13913539570164e-06,1.40135673694717e-07
"602",1.3910831033494e-06,0
"603",1.5409637797273e-06,0
"604",1.45612113126711e-06,0
"605",1.14007258550208e-06,1.4107286536767e-07
"606",1.1192090511322e-06,1.11999973297119e-07
"607",1.52887459493637e-06,0
"608",1.57867857309405e-06,0
"609",1.5028754169398e-06,0
"610",1.04522928143554e-06,1.57229558899236e-07
"611",1.44638118783636e-06,0
"612",1.14093894046428e-06,1.4193922206085e-07
"613",1.23025212080904e-06,1.11999948423422e-07
"614",1.20949563534083e-06,1.11999953072884e-07
"615",1.48685019512521e-06,0
"616",1.56374127184022e-06,0
"617",1.14121554420122e-06,1.42215826350443e-07
"618",1.52881948557443e-06,0
"619",1.50520109520357e-06,0
"620",1.51336984611991e-06,0
"621",1.49691760320372e-06,0
"622",1.4722952038563e-06,0
"623",1.1192090511322e-06,1.11999973297119e-07
"624",1.5033612491393e-06,0
"625",1.31024576674085e-06,1.11999930504809e-07
"626",1.3778160570351e-06,0
"627",1.52010210153602e-06,0
"628",1.52942161290039e-06,0
"629",1.1192090511322e-06,1.11999973297119e-07
"630",1.14298391126643e-06,1.43984196948858e-07
"631",1.41635438470336e-06,0
"632",1.49901046464909e-06,0
"633",1.13923259297629e-06,1.40232871163565e-07
"634",1.14269376406112e-06,1.43694049163835e-07
"635",1.1245432357776e-06,1.25543484615485e-07
"636",1.1192090511322e-06,1.11999973297119e-07
"637",1.1192090511322e-06,1.11999973297119e-07
"638",1.1192090511322e-06,1.11999973297119e-07
"639",1.54049873704455e-06,0
"640",1.39243257444072e-06,0
"641",1.55515138500253e-06,0
"642",1.41395521134302e-06,0
"643",1.48830767573159e-06,0
"644",1.54954362071088e-06,0
"645",1.1192090511322e-06,1.11999973297119e-07
"646",1.13321398574897e-06,1.34214251911042e-07
"647",1.53944461464176e-06,0
"648",1.55620909794705e-06,0
"649",1.1192090511322e-06,1.11999973297119e-07
"650",1.50850098732774e-06,0
"651",1.22269333195923e-06,1.11999950116594e-07
"652",1.14192155108189e-06,1.42921834641713e-07
"653",1.14523495290156e-06,1.46235243081578e-07
"654",1.45190416134086e-06,0
"655",1.20940753565736e-06,1.11999953092618e-07
"656",1.44198718573515e-06,0
"657",1.14318516541031e-06,1.44185451494842e-07
"658",1.1192090511322e-06,1.11999973297119e-07
"659",1.58795223179011e-06,0
"660",1.47487057188367e-06,0
"661",1.14091841652311e-06,1.4191869807867e-07
"662",1.49842852095251e-06,0
"663",1.48217635474858e-06,0
"664",1.54232333804245e-06,0
"665",1.1192090511322e-06,1.11999973297119e-07
"666",1.1192090511322e-06,1.11999973297119e-07
"667",1.54274966100909e-06,0
"668",1.53565789114669e-06,0
"669",1.21585211903121e-06,1.11999951649029e-07
"670",1.46338237369733e-06,0
"671",1.39780336073929e-06,0
"672",1.14068223056787e-06,1.41682511651526e-07
"673",1.1192090511322e-06,1.11999973297119e-07
"674",1.1192090511322e-06,1.11999973297119e-07
"675",1.13296428705137e-06,1.33964552714551e-07
"676",1.5724625694414e-06,0
"677",1.13994781699493e-06,1.40948096611223e-07
"678",1.13849764467999e-06,1.39497921398835e-07
"679",1.13931553643435e-06,1.40315814787344e-07
"680",1.53298140513689e-06,0
"681",1.38376954789103e-06,0
"682",1.1192090511322e-06,1.11999973297119e-07
"683",1.52033987078041e-06,0
"684",1.50391437205787e-06,0
"685",1.1192090511322e-06,1.11999973297119e-07
"686",1.38130600923599e-06,0
"687",1.56559614781753e-06,0
"688",1.2225634392689e-06,1.1199995014569e-07
"689",1.23467457453002e-06,1.1199994743279e-07
"690",1.49982395177165e-06,0
"691",1.12668850435306e-06,1.27688757477202e-07
"692",1.1192090511322e-06,1.11999973297119e-07
"693",1.12394342292363e-06,1.24943670563081e-07
"694",1.44408997688043e-06,3.69323409104247e-08
"695",1.1192090511322e-06,1.11999973297119e-07
"696",1.50217698806814e-06,0
"697",1.13842084162303e-06,1.39421118188429e-07
"698",1.5350700609909e-06,0
