"","npv_welfare_gain.rem","npv_welfare_gain.norem","start_year","year","npv_welfare_loss.norem","npv_welfare_loss.rem","coi_effect_of_removal","coi_effect_of_removal_pc"
"1",4220.55673252588,4220.55673252588,2020,2030,0,0,0,0
"2",693.230684825416,693.230684825416,2025,2030,3527.32604770046,3527.32604770046,0,0
"3",97.9732933776615,97.9732933776615,2030,2030,4122.58343914821,4122.58343914821,0,0
"4",6396.71580430627,6396.71580430627,2015,2030,-2176.1590717804,-2176.1590717804,0,0
"5",4433.37504499549,4433.37504499549,2020,2031,0,0,0,0
"6",746.060461055473,746.060461055473,2025,2031,3687.31458394001,3687.31458394001,0,0
"7",-2.19591682060548,-2.19591682060548,2030,2031,4435.57096181609,4435.57096181609,0,0
"8",6716.02047003836,6716.02047003836,2015,2031,-2282.64542504287,-2282.64542504287,0,0
"9",4671.03499611861,4671.03499611861,2020,2032,0,0,0,0
"10",926.094699937722,926.094699937722,2025,2032,3744.94029618089,3744.94029618089,0,0
"11",127.870977384377,127.870977384377,2030,2032,4543.16401873423,4543.16401873423,0,0
"12",7051.49720523543,7051.49720523543,2015,2032,-2380.46220911682,-2380.46220911682,0,0
"13",4918.80217280887,4918.80217280887,2020,2033,0,0,0,0
"14",1119.95055430828,1119.95055430828,2025,2033,3798.85161850059,3798.85161850059,0,0
"15",752.353945883014,752.353945883014,2030,2033,4166.44822692585,4166.44822692585,0,0
"16",7345.8776409037,7345.8776409037,2015,2033,-2427.07546809483,-2427.07546809483,0,0
"17",5186.77163573236,5186.77163573236,2020,2034,0,0,0,0
"18",1198.37352554159,1198.37352554159,2025,2034,3988.39811019077,3988.39811019077,0,0
"19",650.804458161599,650.804458161599,2030,2034,4535.96717757076,4535.96717757076,0,0
"20",7640.72901507907,7640.72901507907,2015,2034,-2453.95737934671,-2453.95737934671,0,0
"21",5467.14512509145,5467.14512509145,2020,2035,0,0,0,0
"22",1612.8185587739,1612.8185587739,2025,2035,3854.32656631755,3854.32656631755,0,0
"23",843.600451742472,843.600451742472,2030,2035,4623.54467334898,4623.54467334898,0,0
"24",151.019671462391,151.019671462391,2035,2035,5316.12545362906,5316.12545362906,0,0
"25",7908.54323691084,7908.54323691084,2015,2035,-2441.39811181939,-2441.39811181939,0,0
"26",5768.63456368104,5768.63456368104,2020,2036,0,0,0,0
"27",2320.43093443176,2320.43093443176,2025,2036,3448.20362924928,3448.20362924928,0,0
"28",928.613263820089,928.613263820089,2030,2036,4840.02129986095,4840.02129986095,0,0
"29",119.572253355461,119.572253355461,2035,2036,5649.06231032558,5649.06231032558,0,0
"30",8161.78561664929,8161.78561664929,2015,2036,-2393.15105296825,-2393.15105296825,0,0
"31",6066.26897345355,6066.26897345355,2020,2037,0,0,0,0
"32",4448.74058730199,4448.74058730199,2025,2037,1617.52838615156,1617.52838615156,0,0
"33",1166.78740652099,1166.78740652099,2030,2037,4899.48156693257,4899.48156693257,0,0
"34",293.170820729495,293.170820729495,2035,2037,5773.09815272406,5773.09815272406,0,0
"35",8559.91839461715,8559.91839461715,2015,2037,-2493.6494211636,-2493.6494211636,0,0
"36",6369.24638403608,6369.24638403608,2020,2038,0,0,0,0
"37",4635.13195167354,4635.13195167354,2025,2038,1734.11443236254,1734.11443236254,0,0
"38",1474.868804806,1474.868804806,2030,2038,4894.37757923008,4894.37757923008,0,0
"39",893.645051568582,893.645051568582,2035,2038,5475.60133246749,5475.60133246749,0,0
"40",8594.77271144672,8594.77271144672,2015,2038,-2225.52632741065,-2225.52632741065,0,0
"41",6681.56639778444,6681.56639778444,2020,2039,0,0,0,0
"42",4891.76616720012,4891.76616720012,2025,2039,1789.80023058431,1789.80023058431,0,0
"43",1801.35192643882,1801.35192643882,2030,2039,4880.21447134561,4880.21447134561,0,0
"44",812.174881406459,812.174881406459,2035,2039,5869.39151637798,5869.39151637798,0,0
"45",8603.80789799557,8603.80789799557,2015,2039,-1922.24150021114,-1922.24150021114,0,0
"46",7040.91159418918,7040.91159418918,2020,2040,0,0,0,0
"47",5171.71645759163,5171.71645759163,2025,2040,1869.19513659754,1869.19513659754,0,0
"48",3240.13233496474,3240.13233496474,2030,2040,3800.77925922444,3800.77925922444,0,0
"49",1067.83256939305,1067.83256939305,2035,2040,5973.07902479613,5973.07902479613,0,0
"50",8981.76507553027,8981.76507553027,2015,2040,-1940.8534813411,-1940.8534813411,0,0
