"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","bootstrap_draw","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path"
"63",2020,15,217,2582.52188793019,8444.26078855029,"no","no",3923.87330643276,1981.82265869375,18261.5231772453,10.6341917566392,1.83436967632027,3.74850936967632,15,32.8785669382796,1289.18719469171,2589.42059842675,"no","no",2241.6002808132,1132.1604652645,84375.6672232011,2.35937915924568,1.83436967632027,3.74850936967632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.24998032495444,0.571272338772596,4.62040687429278,45.8851142669754,-1803.30719687709,233893.886268676
"64",2021,16,230,2703.45925681867,9136.72514566028,"no","no",4294.2592994906,2065.61214669113,18991.9216259318,11.7644872419718,1.91412549687677,3.82826519023282,16,34.5286897488013,1276.96280071834,2536.647426684,"no","no",2312.08207438847,1112.15100997049,86210.7089707669,2.30982275357007,1.91412549687677,3.82826519023282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.40576257805675,0.538412311213423,4.53933575910791,51.6466313979147,-1751.41954465481,253637.766477618
"65",2022,17,242,2832.28678969999,9904.97807054268,"yes","no",4804.79785517946,2201.13325829728,19805.0961817311,13.0426842203349,2.03375922771153,3.94789892106758,17,38.2769320546563,1266.84248828961,2493.98124870385,"no","no",2425.33914185567,1111.07580562082,88063.9944382818,2.26937095971771,2.03375922771153,3.94789892106758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.57067326218433,0.504774438999803,4.44653202540439,59.178001456654,-1697.62356364368,276259.275507492
"66",2023,18,255,2967.59941623063,10750.392768955,"yes","no",5255.18293144167,2292.81890577711,20711.5659087874,14.4712490113895,2.11351504826803,3.98777683134583,18,37.9593141417235,1260.84568503211,2467.71904316493,"no","no",2513.44305539103,1096.60687956562,89893.5368363023,2.24539494462196,2.11351504826803,3.98777683134583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.73823007163659,0.478278889275793,4.34025786520384,65.0789172597674,-1642.1279790936,293010.362123006
"67",2024,19,267,3110.03635282322,11679.9774650966,"yes","no",5713.82611148594,2374.21276764356,21438.0279857049,16.0713413437476,2.19327086882453,4.14728847245883,19,39.6262585367489,1254.75363474083,2442.70870835404,"no","no",2587.67306939263,1075.23160837697,91716.0225188799,2.22146002708299,2.19327086882453,4.14728847245883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.91881533481331,0.452879212440659,4.27819305861701,70.8050309717941,-1591.74407412409,319103.338283749
"68",2025,20,280,3258.19512664253,12695.1724371857,"yes","no",6166.56300563584,2440.31837941276,22123.8556847524,17.8453576686354,2.27302668938103,4.42643384440659,20,42.8316396076254,1250.55402373963,2425.38232948295,"no","no",2652.9512533024,1049.86289724164,93550.7180839245,2.20501925374111,2.27302668938103,4.42643384440659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.10626310970924,0.430215543225257,4.22849974330645,75.9619366595174,-1544.20100449364,355401.11399682
"69",2026,21,292,3412.71753287773,13802.7167205998,"yes","no",6690.28604094017,2521.49844624239,23157.5367010808,19.8161152781417,2.35278250993754,4.58594548551959,21,42.2818317145746,1249.71518376952,2420.53517983694,"no","no",2746.40585150535,1035.09148113323,95402.1359790021,2.20150004593223,2.35278250993754,4.58594548551959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.29617699488407,0.410506491755232,4.11970138320236,81.4034322698639,-1491.16049720225,382878.434354706
"70",2027,22,305,3572.20198930739,15003.9511897724,"yes","no",7254.3166022692,2603.88155507263,24368.8030481445,21.9854689235826,2.43253833049404,4.70557921635434,22,42.2638889872309,1248.35780132921,2414.48576672253,"no","no",2837.80212428395,1018.6074048736,97249.9136900392,2.19612469819472,2.43253833049404,4.70557921635434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.49849943828623,0.391188071857281,3.99075463402557,87.0889386323867,-1437.13749921808,407843.552409223
"71",2028,23,317,3737.29167585831,16305.1336048872,"yes","no",7697.90683407802,2631.52845886639,25823.1530304282,24.3775829877426,2.47241624077229,4.86509085746735,23,52.7096201178407,1247.03276010157,2408.95553309042,"no","no",2826.74695791433,966.323083157515,100939.816603106,2.19094914778016,2.47241624077229,4.86509085746735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.71260901671539,0.367209816751815,3.90888813942146,91.8110041807662,-1415.78935790294,437013.592349305
"72",2029,24,330,3906.58504670553,17707.3067574548,"yes","no",8663.2104140244,2820.49272688621,27252.2426560275,26.9932258088166,2.63192788188529,4.9049687677456,24,41.1923680079528,1256.20246653025,2440.14102919526,"no","no",3104.18701840556,1010.63422101972,101110.84166413,2.22564332719841,2.63192788188529,4.9049687677456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.89997280739882,0.358318321967611,3.71018425677224,100.235270269519,-1331.75129990275,454410.294239137
"73",2030,25,342,4080.72636728991,19216.0252979859,"yes","no",9239.04727110586,2864.73208035441,28341.288536004,29.8575176375078,2.67180579216354,4.86509085746735,25,51.5025496108889,1253.51679590899,2430.46994386019,"no","no",3098.58885263572,960.772970361873,101021.432564365,2.21535956751217,2.67180579216354,4.86509085746735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.14001729748488,0.335379694649494,3.56446152531246,105.994338278626,-1254.57795611956,466035.431859519
"74",2031,26,355,4258.31421712628,20831.8367509306,"yes","no",9947.43670589744,2937.50563053957,30342.4475468726,32.969532437946,2.75156161272005,4.9847245883021,26,38.8835707133884,1261.24045694283,2457.00996793881,"no","no",3276.55693471737,967.576344447562,104816.023041796,2.2447734826037,2.75156161272005,4.9847245883021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.35011214872086,0.329387060364489,3.45443533781769,110.348073702986,-1231.92380608367,491650.841512417
