"","npv_welfare_gain.rem","npv_welfare_gain.norem","start_year","year","npv_welfare_loss.norem","npv_welfare_loss.rem","coi_effect_of_removal","coi_effect_of_removal_pc"
"1",2472.32389737803,2461.34499229317,2020,2030,0,0,0,0
"2",1547.56435677332,404.278388547533,2025,2030,2057.06660374564,924.759540604716,-1132.30706314092,-45.7993009872922
"3",-141.444813908102,57.1360818763969,2030,2030,2404.20891041677,2613.76871128614,209.559800869365,8.47622761287906
"4",3734.92447489299,3730.43780947572,2015,2030,-1269.09281718255,-1262.60057751496,6.49223966758836,0.262596647408277
"5",2600.46017155668,2585.45641191431,2020,2031,0,0,0,0
"6",2011.72007034503,435.087666424482,2025,2031,2150.36874548983,588.740101211648,-1561.62864427818,-60.0520116154429
"7",1238.96461858852,-1.28061514449894,2030,2031,2586.73702705881,1361.49555296816,-1225.24147409065,-47.1163330049082
"8",3928.16976032519,3916.64995868314,2015,2031,-1331.19354676883,-1327.70958876852,3.48395800031267,0.133974672576012
"9",2744.43582857193,2724.05498258569,2020,2032,0,0,0,0
"10",2083.60048381331,540.080064441352,2025,2032,2183.97491814434,660.835344758621,-1523.13957338572,-55.4991870288431
"11",1652.34960411617,74.5718183146683,2030,2032,2649.48316427102,1092.08622445576,-1557.39693981526,-56.7474350684911
"12",4119.80820058052,4112.29333810859,2015,2032,-1388.2383555229,-1375.37237200859,12.8659835143071,0.468802490492261
"13",2886.0544874843,2868.54788678039,2020,2033,0,0,0,0
"14",2159.90616463115,653.132954526807,2025,2033,2215.41493225359,726.148322853152,-1489.26660940043,-51.6021653734815
"15",1772.60742437734,438.75790197539,2030,2033,2429.789984805,1113.44706310697,-1316.34292169804,-45.6104667256459
"16",4286.46627094609,4283.97017059308,2015,2033,-1415.42228381269,-1400.41178346179,15.0105003509061,0.52010453773485
"17",3039.44171623271,3024.82236369271,2020,2034,0,0,0,0
"18",2204.31721360279,698.867676213715,2025,2034,2325.95468747899,835.124502629912,-1490.83018484908,-49.0494743454702
"19",1851.13671149759,379.536254474053,2030,2034,2645.28610921865,1188.30500473511,-1456.98110448354,-47.9358132351169
"20",4444.82780166797,4455.92164507617,2015,2034,-1431.09928138346,-1405.38608543526,25.7131959481958,0.845984175675081
"21",3198.98969564442,3188.33062284902,2020,2035,0,0,0,0
"22",2304.35939432331,940.563801103056,2025,2035,2247.76682174597,894.630301321114,-1353.13652042485,-42.2988708674871
"23",1934.45607332305,491.971054764126,2030,2035,2696.3595680849,1264.53362232137,-1431.82594576353,-44.7586920243296
"24",-330.230546534294,88.0716776597524,2035,2035,3100.25894518927,3529.22024217872,428.961296989446,13.4092741084317
"25",4593.26424376798,4612.10558846224,2015,2035,-1423.77496561322,-1394.27454812356,29.5004174896521,0.922179197070199
"26",3369.11452402062,3364.1532848649,2020,2036,0,0,0,0
"27",2417.18839253038,1353.22930655352,2025,2036,2010.92397831139,951.926131490236,-1058.99784682115,-31.4325274273363
"28",2020.61423014405,541.548840954143,2030,2036,2822.60444391076,1348.50029387657,-1474.10415003419,-43.7534592405316
"29",-282.629094344706,69.7321670256376,2035,2036,3294.42111783927,3651.74361836533,357.32250052606,10.6058282666996
"30",4715.94363098644,4759.79152250075,2015,2036,-1395.63823763585,-1346.82910696582,48.8091306700276,1.44872281194466
"31",3535.17204767895,3537.72777052033,2020,2037,0,0,0,0
"32",2530.90742024901,2594.41729148703,2025,2037,943.310479033297,1004.26462742994,60.9541483966418,1.724220139064
"33",2093.60989131869,680.447277957199,2030,2037,2857.28049256313,1441.56215636026,-1415.71833620287,-40.0466601655886
"34",-212.598417481953,170.971409039008,2035,2037,3366.75636148132,3747.7704651609,381.014103679583,10.7778093552686
"35",4928.05355884353,4991.97466359373,2015,2037,-1454.2468930734,-1392.88151116458,61.3653819088204,1.73585276985629
"36",3713.65701329929,3714.41818829584,2020,2038,0,0,0,0
"37",2658.89354773531,2703.11703902674,2025,2038,1011.3011492691,1054.76346556398,43.4623162948801,1.1703373827802
"38",2168.14240111706,860.114240148151,2030,2038,2854.30394814769,1545.51461218224,-1308.78933596545,-35.2426013301292
"39",-36.9447229048933,521.156072992656,2035,2038,3193.26211530318,3750.60173620418,557.339620901002,15.0078377972189
"40",4943.66201283689,5012.3010100037,2015,2038,-1297.88282170786,-1230.0049995376,67.8778221702582,1.82778920958977
"41",3893.83787215854,3896.55702697279,2020,2039,0,0,0,0
"42",2790.23851154854,2852.78102443641,2025,2039,1043.77600253638,1103.59936061,59.8233580736178,1.53635975707573
"43",2260.51768459504,1050.5127224873,2030,2039,2846.04430448549,1633.32018756349,-1212.724116922,-31.1446998241283
"44",240.024710206028,473.644285316767,2035,2039,3422.91274165602,3653.81316195251,230.900420296484,5.9298930227027
"45",4946.9006402135,5017.57015163022,2015,2039,-1121.01312465743,-1053.06276805496,67.950356602465,1.74507411025814
"46",4098.01677184095,4106.12001966027,2020,2040,0,0,0,0
"47",2940.40122475178,3016.04248234692,2025,2040,1090.07753731336,1157.61554708917,67.5380097758175,1.64806572388618
"48",2375.17525975496,1889.58092556187,2030,2040,2216.5390940984,1722.84151208599,-493.697582012407,-12.0472318562675
"49",572.289104404162,622.738779229764,2035,2040,3483.38124043051,3525.72766743679,42.346427006285,1.03333952406597
"50",5159.60938713076,5237.98728263501,2015,2040,-1131.86726297474,-1061.59261528981,70.2746476849334,1.71484529218664
