"Record.Year","sat_stock"
2005,810
2006,819.5
2007,852.40625
2008,884.4375
2009,904.845360824742
2010,942.804347826087
2011,967.753623188406
2012,1002.74489795918
2013,1073.57851239669
2014,1199.32786885246
2015,1284.63190184049
2016,1381
2017,1738
