"","npv_welfare_gain.rem","npv_welfare_gain.norem","start_year","year","npv_welfare_loss.norem","npv_welfare_loss.rem","coi_effect_of_removal","coi_effect_of_removal_pc"
"1",2307.6416160265,2307.6416160265,2020,2030,0,0,0,0
"2",2119.35376179783,2119.35376179783,2025,2030,188.287854228664,188.287854228664,0,0
"3",1949.08028766613,1949.08028766613,2030,2030,358.561328360368,358.561328360368,0,0
"4",2608.4581216883,2608.4581216883,2015,2030,-300.8165056618,-300.8165056618,0,0
"5",2338.76960003996,2338.76960003996,2020,2031,0,0,0,0
"6",2144.26312507046,2144.26312507046,2025,2031,194.506474969498,194.506474969498,0,0
"7",1966.67484509664,1966.67484509664,2030,2031,372.094754943323,372.094754943323,0,0
"8",2654.04920723051,2654.04920723051,2015,2031,-315.279607190549,-315.279607190549,0,0
"9",2379.69423396211,2379.69423396211,2020,2032,0,0,0,0
"10",2165.66904180299,2165.66904180299,2025,2032,214.025192159126,214.025192159126,0,0
"11",1993.86657159635,1993.86657159635,2030,2032,385.827662365764,385.827662365764,0,0
"12",2704.59346945924,2704.59346945924,2015,2032,-324.89923549713,-324.89923549713,0,0
"13",2407.71056152126,2407.71056152126,2020,2033,0,0,0,0
"14",2169.59688109028,2169.59688109028,2025,2033,238.113680430978,238.113680430978,0,0
"15",1968.1690459335,1968.1690459335,2030,2033,439.54151558776,439.54151558776,0,0
"16",2737.61855572149,2737.61855572149,2015,2033,-329.90799420023,-329.90799420023,0,0
"17",2450.16647707054,2451.185965491,2020,2034,0,0,0,0
"18",2187.83427623942,2187.13402907197,2025,2034,264.051936419036,262.332200831123,-1.71973558791296,-0.0701885200049388
"19",2008.3096965611,2020.52681964187,2030,2034,430.659145849135,441.856780509445,11.1976346603103,0.457015258559017
"20",2782.79169172164,2777.97714501676,2015,2034,-326.791179525761,-332.625214651092,-5.83403512533096,-0.238107703289868
"21",2486.82912285497,2496.090296661,2020,2035,0,0,0,0
"22",2201.6643319481,2210.85797131387,2025,2035,285.232325347125,285.164790906873,-0.0675344402511655,-0.00271568479034191
"23",2010.2012101717,2037.63685056669,2030,2035,458.453446094306,476.627912683266,18.1744665889596,0.73082892676175
"24",1917.6437400109,1866.65531844611,2035,2035,629.434978214883,569.185382844068,-60.2495953708149,-2.42274769975535
"25",2818.37538222744,2817.12769075691,2015,2035,-321.037394095914,-331.546259372474,-10.5088652765598,-0.422580915591631
"26",2531.73816759621,2548.12574549469,2020,2036,0,0,0,0
"27",2228.00898849128,2244.92476057941,2025,2036,303.200984915287,303.729179104929,0.528194189641908,0.020862907404971
"28",2023.14242770985,2064.83932290952,2030,2036,483.286422585177,508.595739886363,25.3093173011857,0.999681468846991
"29",2001.03867855759,1891.79530700305,2035,2036,656.330438491647,530.699489038629,-125.630949453018,-4.96224100347233
"30",2861.18627069512,2869.57889053918,2015,2036,-321.453145044486,-329.448103098907,-7.99495805442075,-0.31578929277713
"31",2561.2057773918,2583.48203031922,2020,2037,0,0,0,0
"32",2247.75924763991,2268.7166274513,2025,2037,314.765402867923,313.446529751898,-1.31887311602486,-0.0514942269639861
"33",2022.34668570478,2068.97738986677,2030,2037,514.504640452455,538.859091687026,24.3544512345711,0.950897871992636
"34",2017.96829238246,1903.44538658691,2035,2037,680.03664373231,543.237485009347,-136.799158722963,-5.34120139547208
"35",2952.25916628613,2969.32528751955,2015,2037,-385.843257200329,-391.053388894323,-5.21013169399339,-0.203424954760922
"36",2598.10370981481,2626.23284339599,2020,2038,0,0,0,0
"37",2282.26128575899,2304.49110637476,2025,2038,321.74173702123,315.84242405582,-5.89931296540999,-0.227062258643651
"38",2030.84669278992,2079.59396721784,2030,2038,546.638876178156,567.257017024894,20.6181408467382,0.793584211779132
"39",1987.42763503777,1902.22923242302,2035,2038,724.003610972974,610.676074777036,-113.327536195939,-4.36193273454879
"40",2925.39138220405,2945.60249441039,2015,2038,-319.369651014401,-327.287672389245,-7.91802137484319,-0.304761559168382
"41",2636.38758772976,2663.79514305564,2020,2039,0,0,0,0
"42",2317.82424899413,2343.29375212692,2025,2039,320.501390928726,318.563338735631,-1.93805219309525,-0.0735116567122112
"43",2042.02609755133,2090.95315429443,2030,2039,572.841988761217,594.361490178431,21.5195014172136,0.816249534680311
"44",2005.89832648522,1938.55043170085,2035,2039,725.244711354796,630.489261244533,-94.7554501102622,-3.59413959280008
"45",2896.60998102548,2918.403482324,2015,2039,-254.608339268355,-260.222393295726,-5.61405402737046,-0.212944942295257
"46",2675.63975928111,2700.5402543191,2020,2040,0,0,0,0
"47",2357.05802298859,2385.31925226183,2025,2040,315.221002057273,318.581736292517,3.36073423524385,0.125604884722853
"48",2062.28520521436,2111.4285016954,2030,2040,589.111752623704,613.354554066752,24.2428014430488,0.906056256600194
"49",2008.65384089406,1953.31759612069,2035,2040,747.222658198412,666.985918387051,-80.2367398113615,-2.99878709505048
"50",2993.98998944447,3020.14537166238,2015,2040,-319.605117343277,-318.350230163365,1.25488717991129,0.0469004534544836
"51",2711.13715322002,2739.56976597513,2020,2041,0,0,0,0
"52",2393.20327619946,2424.81598935722,2025,2041,314.753776617913,317.933877020561,3.18010040264789,0.11729765861793
"53",2084.82913110276,2132.88424743365,2030,2041,606.685518541477,626.308022117257,19.6225035757793,0.723773917246262
"54",2006.74516992214,1968.24748220914,2035,2041,771.322283765988,704.391983297877,-66.9303004681108,-2.46871687729327
"55",3026.61963644268,3056.12215535255,2015,2041,-316.552389377416,-315.482483222664,1.06990615475206,0.0394633725365511
