PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
Chinastar 1,,LockMart,ChinaOrien,LM 3B,95 Sep,1995,"$46,667",09/15/95,98 May,05/30/98,32 ,97 Dec,12/15/97,27 ,1 ,,,$70,$70,,,,,$70,FFP,"2,984","1,500","6,799",GEO,87.5ºE,,,,18,,20,,18C/20Ku,China E Asia,15.0,A-2100,3-axis,,
ST-1,,MMS,Singapore,Ariane 44P,95 Sep,1995,"$69,907",09/15/95,98 Aug,08/25/98,35 ,98 Feb,02/15/98,29 ,1 ,,,$105,$105,$22,$80,$33,,$240,FFP,"3,255","1,502","6,900",GEO,88.0ºE,,,,14,,16,,14C/16Ku90-135W,SE Asia India Indochina,12.0,ES-2000+,3-axis,,
HotBird 5,Arabsat 2D,MMS,Eutelsat,Ariane,96 Apr,1996,"$120,000",04/15/96,98 Oct,10/09/98,30 ,98 Apr,04/15/98,24 ,1 ,,,$180,$180,,,,,$180,FFP,"2,923","1,500","4,988",GEO,25.5ºE,,,,,,22,,22 Ku 135W,Europe,12.0,ES-2000A,3-axis,,
"PAS 7,8",,SS/L,PanAmSat,ArianProtn,96 Apr,1996,"$42,105",04/15/96,98 Sep,09/16/98,29 ,97 Dec,12/15/97,20 ,2 ,,,$160,$80,,,,,$160,FFP,"3,820","1,900","8,300",GEO,68.5ºE,,,,14,,30,,14 C / 30 Ku,Europe India,15.0,FS 1300,3-axis,,
SATMEX 05,Morelos2FOS,HAC,Tel Mexico,Ariane,96 Aug,1996,"$46,977",08/15/96,98 Dec,12/06/98,28 ,,,,1 ,$91,$10,$101,$101,,$90,$34,,$225,FFP,"4,125","2,150","7,615",GEO,116.8ºW,,,,24,,24,,24C36W/24Ku132W,Mexico Latin America,15.0,HS 601HP,3-axis,,
INT KTV,NSS,MMS,INTELSAT,Ariane 4,96 Dec,1996,"$78,235",12/15/96,Cancel,,,98 Dec,12/15/98,24 ,1 ,$100,$33,$133,$133,,,,,$133,FFP,"3,255","1,700","7,540",GEO,,,,,,,30,,30 Ku 105 W,,12.0,ES 3000,3-axis,,
M2Asia,,SS/L,PSN,Proton,96 Dec,1996,"$76,531",12/15/96,Suspen,,,99 Feb,02/15/99,26 ,1 ,,,$150,$150,$32,$120,$48,,$350,FFP,,"1,960",,GEO,,,,,,,,,54 C/X,Asia,,FS 1300+,3-axis,,
APMT,,HAC,China&ST&T,LM 3B,96 Feb,1996,"$53,462",02/15/96,Denied,,,98 Jun,06/15/98,28 ,2 ,$248,$30,$278,$139,$238,$60,$51,,$627,FFP,"5,200","2,600","11,000",GEO,,,230,,,,,,230 L band beam,,12.0,HS GEM,3-axis,,
JCSat 4 2R,JCSat 2R,HAC,JapanSat,Atlas 2AS,96 Feb,1996,"$95,566",02/15/96,97 Feb,02/17/97,12 ,N/A,,,1 ,,,$125,$125,,,,,$125,FFP,"3,124","1,308","4,700",GEO,127.0ºE,,,,12,,28,,12C34W/28Ku63+W,Japan E Asia,12.0,HS-601,3-axis,,
Yamal 100,,SS/L RKK,AO Gazkom,Proton,96 Feb,1996,"$35,885",02/15/96,99 Sep,09/06/99,43 ,97,,,2 ,,,$90,$45,,,,,$90,FFP,"2,700","1,254","1,300",GEO,89.8ºE,,,,28,,,,28C-band - 20W,N Asia,10.0,,3-axis,,
Asiasat 3,PAS 22,HAC,Asiasat,LM,96 Jan,1996,"$50,761",01/15/96,97 Dec,12/25/97,23 ,98 Jan,01/15/98,24 ,1 ,$82,$8,$90,$90,,$60,,,$150,FFP,"3,410","1,773","9,900",GEO,34.5ºW,,,,28,,16,,28-C/16-Ku,E Asia Pacific,15.0,HS-601HP,3-axis,,
Brazilsa B3A,,HAC,Embratel,Ariane,96 Jan,1996,"$74,310",01/15/96,98 Feb,02/04/98,25 ,98 Jan,01/15/98,24 ,1 ,,,$70,$70,,,,,$70,FFP,"1,750",942,"1,650",GEO,,,,,28,1,,,28C/1X,Brazil,12.0,HS-376,spinner,,
Iridium,,Motorola,Iridium,Delta 2,96 Jan,1996,"$16,287",01/15/96,98 Apr,04/07/98,27 ,96 Jan,01/15/96,,40 ,$400,,$400,$10,,,,,$400,FFP,694,614,590,LEO,,,48,,,,,7,48-L/7-Ka,Global,5.0,,3-axis,,
Astra 2B,,MMS,SES Lux,Ariane 5,96 Jun,1996,"$55,781",06/15/96,00 Sep,09/14/00,51 ,98 Dec,12/15/98,30 ,1 ,,,$110,$110,,,,,$110,FFP,"3,327","1,972","6,400",GEO,28.2ºE,,,,,,30,,30 Ku - 109W,Europe Africa spot,15.0,ES-2000+,3-axis,,
Morelos2FOS,Satmex 5,HAC,Tel Mexico,Ariane 42L,96 Jun,1996,"$140,867",06/15/96,98 Dec,12/06/98,30 ,,,,1 ,,,$90,$91,,,,,$91,FFP,"1,140",646,936,GEO,,,,,18,,4,,18C/4Ku,Mexico,9.0,HS 376,spinner,,
"LStar 1,2",,SS/L,Asia Broad,Ariane,96 Mar,1996,"$67,568",03/15/96,Suspen,,,98,,,2 ,,,$200,$100,$20,$187,$73,,$480,FFP,"3,500","1,480","3,600",GEO,,,,,,,32,,32 Ku @110W,,14.0,FS-1300,3-axis,,
Odyssey,,TRW,Odyssey,ProtonAria,96 Mar,1996,"$42,592",03/15/96,Cancel,,,99 Oct,10/15/99,43 ,14 ,,,"$1,319",$94,$935,$460,,,"$2,714",FFP,"5,144","2,207","6,177",GEO,,,,90,,,,,90 S band,Global,12.0,TRW-940,3-axis,,
Astra 2A,,HAC,SES Lux,Proton,96 May,1996,"$55,781",05/15/96,98 Aug,08/30/98,27 ,97 Aug,08/15/97,15 ,1 ,,,$110,$110,,,,,$110,FFP,"3,327","1,972","7,075",GEO,28.2ºE,,,,,,32,,32 Ku,Europe,15.0,HS 601HP,3-axis,,
Arabsat 3A,3A=BADR 3,Alcatel,Arabsat,Ariane 44L,96 Nov,1996,"$59,259",11/15/96,99 Feb,02/26/99,27 ,99 Jan,01/15/99,26 ,1 ,,,$80,$80,,,,,$80,FFP,"2,708","1,350","5,074",GEO,30.2ºE,,,,,,20,,20Ku 140W,Mid East N Africa,15.0,SB-3000,3-axis,,
EuroSkyWay,,Alenia,EuroSkyWay,,96 Sep,1996,"$58,680",09/15/96,,N/A,,,,,5 ,,,$600,$120,$200,$400,$180,$10,"$1,390",FFP,"4,560","2,045","9,000",GEO,,,,,,,,,Ka,Europe,12.0,,3-axis,,
JCSat 5,JCSat 1B,HSC,JapanSatSy,Ariane 4,96 Sep,1996,"$95,566",09/15/96,97 Dec,12/02/97,15 ,,,,1 ,,,$125,$125,,,,,$125,FFP,"2,982","1,308","5,000",GEO,150.0ºE,,,,12,,28,,12C34W/28Ku63+W,Japan,12.0,HS-601,3-axis,,
M-Star,,Motorola,Motorola,,96 Sep,1996,"$44,865",09/15/96,Suspen,,,N/A,,,72 ,,,"$3,225",$45,$80,"$1,638",$833,$375,"$6,150",FFP,"1,151","1,003","3,100",GEO,,,,,,,,,40/50 GHz Multi,,10.0,,3-axis,,
Galaxy 03C,,BSS,PanAmSat,Ariane,97 Aug,1997,"$55,102",08/15/97,02 Jun,06/15/02,58 ,01 Dec,12/15/01,,,,,$135,$135,,$88,$44,,$267,FFP,"4,850","2,450","15,000",GEO,95.0ºW,,,,24,,53,,24C & 53Ku band,USA,15.0,BS-702,3-axis,,
PAS 1R,,HSC,PanAmSat,Ariane 5,97 Aug,1997,"$40,426",08/15/97,00 Nov,11/15/00,39 ,00 Nov,11/15/00,39 ,1 ,,,$95,$95,,$66,$32,,$193,FFP,"4,790","2,350","14,700",GEO,45.0ºW,,,,36,,36,,36 C & 36 Ku,,15.0,HS-702,3-axis,,
Astra 1K,,AS,SES Lux,Proton,97 Dec,1997,"$45,000",12/15/97,02 Nov,11/25/02,59 ,01 Jan,01/15/01,37 ,1 ,,,$117,$117,,,,,$130,FFP,"5,250","2,600","12,400",GEO,,,,,,,52,2,52Ku105W/2Ka66W,Europe,13.0,3000B3S,3-axis,,
INT 903,,SS/L,INTELSAT,Proton K,97 Dec,1997,"$60,150",12/15/97,02 Mar,03/30/02,51 ,01 Mar,03/15/01,39 ,2 ,$181,$60,$241,$120,,,,,$240,FFP,"4,723","1,995","8,280",GEO,34.5ºW,,,,44,,12,,44C/12Ku,Transoceanic Global Europ,13.0,FS-1300,3-axis,,
Chinasat 8,Protostar 1,SS/L,ChinasaMPT,LM 3B,97 Jan,1997,"$46,223",01/15/97,Denied,,,98 Dec,12/15/98,23 ,1 ,,,$82,$82,,$40,,,$122,FFP,"4,191","1,774","11,000",GEO,,,,,36,,16,,36C/16Ku 125W,China E Asia,15.0,FS 1300,3-axis,,
Orion 3,,HAC,Orionsat,Delta III,97 Jan,1997,"$52,381",01/15/97,99 May,05/05/99,28 ,98 Dec,12/15/98,23 ,1 ,,,$110,$110,,,,,$110,FFP,"4,300","2,100","6,900",GEO,,,,,10,,43,,10C/43Ku-50W,Transoceanic,15.0,HS 601HP,3-axis,,
Asiasat 3S,Asiasat3SA,HSC,Asiasat,Proton K,97 Jul,1997,"$62,712",07/15/97,99 Mar,03/21/99,20 ,99 Mar,03/15/99,20 ,1 ,$100,$11,$111,$111,,$40,$23,,$174,FFP,"3,465","1,770","10,000",GEO,105.5ºE,,,,28,,16,,28C55W/16Ku138W,E Asia Pacific,15.0,HS 601HP,3-axis,,
Astrolink,,LockMart,Astrolink,Proton,97 Jun,1997,"$162,929",06/15/97,Cancel,,,00 Dec,12/15/00,42 ,5 ,,,"$1,782",$356,$152,"$1,400",$573,$87,"$3,994",FFP,"4,460","2,185","13,183",GEO,,,,,,,,52,52 Ka 13W-40W,Global,12.0,A2100AX,3-axis,,
LMI-1,ABS-1,LockMart,LMInterspu,Proton,97 Jun,1997,"$56,647",06/15/97,99 Sep,09/26/99,27 ,99 Dec,12/15/99,30 ,1 ,$89,$9,$98,$98,,$81,$28,,$207,FFP,"2,600","1,730","7,560",GEO,75.0ºE,,,,28,,16,,28 C & 16 Ku,All Asia,15.0,A2100,3-axis,,
Sirius,NGSO,SS/L,CD Radio,Proton,97 Jun,1997,"$73,885",06/15/97,00 Jun,06/30/00,37 ,99 Aug,08/15/99,26 ,3 ,$276,$72,$348,$116,,,,,$348,FFP,"3,727","1,570",,GEO,,,,,,,,,Radio Broadcast,,15.0,FS-1300,3-axis,,
Sirius 3,,HSC,Nordiska,Ariane 44L,97 Jun,1997,"$93,052",06/15/97,98 Oct,10/05/98,16 ,98 Aug,08/15/98,14 ,1 ,,,$75,$75,$20,,,,$95,FFP,"1,445",806,"1,400",GEO,,,,,,,15,,15 Ku @ 44W BSS,,12.0,HS 376HP,spinner,,
Turksat 2A,Eurasiasat,AS,TurkTeleco,Ariane,97 Jun,1997,"$77,362",06/15/97,01 Jan,01/10/01,43 ,99 Dec,12/15/99,30 ,1 ,$111,$11,$122,$122,$25,$81,$31,,$260,FFP,"3,535","1,577","8,673",GEO,42.0ºE,,,,,2,32,,32Ku/2X band,Turkey,12.2,SB3000B3,3-axis,,
"GE 03,4",AMC-3/4,LockMart,GE Americom,Atlas,97 Mar,1997,"$70,313",03/15/97,97 Sep,09/04/97,6 ,,,,2 ,,,$180,$90,,,,,$180,FFP,"2,845","1,280","6,500",GEO,87.0ºW,,,,12,,24,,12C 18W/24Ku60W,USA,15.0,A2100A,3-axis,,
INT 901,,SS/L,INTELSAT,Ariane 4,97 Mar,1997,"$81,177",03/15/97,01 Jun,06/09/01,51 ,00 Jul,07/15/00,40 ,2 ,$240,$80,$320,$160,,,,,$320,FFP,"4,723","1,971","8,280",GEO,18.0ºW,,,,44,,12,,44C/12Ku,Transoceanic Global,13.0,FS 1300,3-axis,,
Koreasat 3,ABS-7,LockMart,KoreaTelec,Ariane 5,97 Mar,1997,"$73,077",03/15/97,99 Sep,09/04/99,30 ,99 Aug,08/15/99,29 ,1 ,,,$95,$95,$13,,,,$108,FFP,"2,800","1,300","5,171",GEO,116.0ºE,,,,,,30,3,30Ku/3Ka,S Korea,12.5,A2100,3-axis,,
