PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
Icesat,,Ball,NASA,Delta 2,98 Jan,1998,"$41,237",01/15/98,03 Jan,01/13/03,60 ,01 Jun,06/15/01,41 ,1 ,,,$40,$40,,,,,$40,FFP,"1,270",970,350,LEO,,,,,,,,,Laser altimeter,,3.0,,3-axis,,
JCSat 6,JCSat 4A,HSC,JSSi,Atlas 2AS,98 Jan,1998,"$85,852",01/15/98,99 Feb,02/16/99,13 ,98 May,05/15/98,4 ,1 ,,,$125,$125,,,,,$125,FFP,"3,124","1,456","5,200",GEO,124.0ºE,,,,,,32,,32 Ku 60W/95W,Japan,12.0,HS-601,3-axis,,
Orion 2,Telstar 12,SS/L,Loral Skynet,Ariane 44L,98 Jul,1998,"$50,000",07/23/98,99 Oct,10/19/99,15 ,,,,1 ,,,$100,$100,,$92,,,$192,FFP,"3,814","2,000","10,600",GEO,15.0ºW,,,,,,36,,36 Ku-band,Transoceanic,15.0,FS 1300,3-axis,,
UHFO 11,,HSC,US Navy,Atlas 2AS,98 Jul,1998,"$137,195",07/15/98,03 Dec,12/18/03,65 ,03 Jul,07/15/03,60 ,1 ,,,$135,$135,,$75,$29,,$239,FFP,"2,866",984,"2,531",GEO,,,,,,,,,39UHF/EHF/GBS,,14.0,HS 601,3-axis,,
Agrani,,LockMart,ACS Ent.,Ariane,98 Jun,1998,"$77,273",06/15/98,onhold,,,01 Dec,12/15/01,42 ,1 ,,,$340,$170,$107,$180,$53,$76,$755,FFP,"4,600","2,200","12,000",GEO,,,1,,,,17,,L & 17 Ku,,14.0,A 2100,3-axis,,
Brazilsat B3,B-3,HSC,Embratel,Ariane,98 Jun,1998,"$93,458",06/15/98,00 Aug,08/17/00,26 ,99 Dec,12/15/99,18 ,1 ,,,$80,$80,,,,,$80,FFP,"1,820",856,"1,650",GEO,75.0ºW,,,,28,1,,,28 C & 1 X,Brazil,12.0,HS 376HP,spinner,,
ECCO,Aries,Orbital,ConstCommI,,98 Jun,1998,"$55,319",06/15/98,Cancel,,,01 Jun,06/15/01,36 ,11 ,,,$290,$26,,$100,$59,,$449,FFP,500,470,"1,000",LEO,,,,,,,,,L-band,,5.0,,3-axis,,
Ellipso,Concordia,Boeing,MCHI,,98 Jun,1998,"$90,110",06/15/98,Cancel,,,02 Jun,06/15/02,48 ,17 ,,,"$1,400",$82,$200,$500,$285,,"$2,385",FFP,950,910,"3,000",LEO,,,61,,,,,,61 L band beams,,5.0,,3-axis,,
Eutelsat W1,W1REurobird4,Astrium,Eutelsat,Ariane 44P,98 Jun,1998,"$55,556",06/15/98,00 Sep,09/06/00,27 ,00 Dec,12/15/00,30 ,1 ,,,$100,$100,,,,,$100,FFP,"3,250","1,800","7,000",GEO,4.0ºE,,,,,,28,,28 Ku,Europe,12.5,ES2000+,3-axis,,
GE 01A/2A,AAP-1World,LockMart,GE Americom,Proton,98 Jun,1998,"$62,461",06/15/98,00 Oct,10/01/00,28 ,99 Dec,12/15/99,18 ,2 ,,,$200,$100,,,,,$200,FFP,"3,552","1,601",,GEO,108.0ºE,,,,,,28,,28 Ku 120W,USA,15.0,A 2100,3-axis,,
GE*Star,,Harris,Americom,,98 Jun,1998,"$83,333",06/15/98,Cancel,,,02 Jun,06/15/02,48 ,1 ,,,$150,$150,,,,,$150,FFP,"3,600","1,800","8,900",GEO,,,,,,,,,Ka band,,15.0,SB 3000,3-axis,,
SpaceWay,"F-1,2,3",HAC,HCI,Sea Launch,98 Jun,1998,"$70,171",06/15/98,05 Apr,04/26/05,82 ,02 Jan,01/15/02,43 ,3 ,$675,$100,$775,$259,$100,$300,$161,,"$1,336",FFP,"5,993","3,691","12,300",GEO,95.0ºW,,,,,,,64,102.9ºW 99ºW 64Ka 125&250,USA,15.0,HS 702,3-axis,,
ANIK F1,,HSC,Telesat,Ariane,98 Mar,1998,"$52,203",03/15/98,00 Nov,11/21/00,32 ,00 MAR,03/15/00,24 ,1 ,$140,$14,$154,$154,,$98,$38,,$290,FFP,"4,711","2,950","15,000",GEO,107.3ºW,,,,36,,48,,36C/48KuAmerica,Canada Americas,15.0,HS 702,3-axis,,
XM 1 & 2,Rock Roll,HSCAlcat,XM Radio,Sea Launch,98 Mar,1998,"$41,269",03/15/98,01 Mar,03/18/01,36 ,00 Apr,04/15/00,25 ,2 ,$224,$20,$242,$121,$4,$170,,,$416,FFP,"4,682","2,932","15,000",GEO,115ºW,,,2,,,,,S-band,USA,15.0,HS 702,3-axis,,
Asiasat 1R,Asiasat 4,HSC,Asiasat,Atlas-3B,98 Nov,1998,"$50,000",11/15/98,03 Apr,04/12/03,53 ,00 Sep,09/15/00,22 ,1 ,,,$100,$100,,,,,$100,FFP,"4,042","2,000","9,900",GEO,,,,,28,,16,,28C/16Ku,E Asia Pacific,15.0,HS601HP,3-axis,,
AsiaSat 4,,HSC,Asiasat,Atlas 3,98 Nov,1998,"$55,500",11/15/98,03 Apr,04/12/03,53 ,99 Dec,12/15/99,13 ,1 ,,,$111,$111,,,,,$111,FFP,"4,042","2,000","9,500",GEO,122.2ºE,,,,28,,20,,28C55W/20Ku138W,E Asia Pacific,15.0,HS 601HP,3-axis,,
Galaxy 04R,,HSC,HCI,Delta 3,98 Oct,1998,"$53,333",10/15/98,00 Apr,04/18/00,18 ,99 Dec,12/15/99,14 ,1 ,,,$104,$104,,$80,$28,,$212,FFP,"3,715","1,950","5,200",GEO,77ºW,,,,24,,24,,24 C/24 Ku,USA,12.0,HS 601HP,3-axis,,
GE 07/8,AMC-7/8,LockMart,GE Americom,Ariane,98 Oct,1998,"$76,754",10/15/98,00 Sep,09/14/00,23 ,00 Oct,10/15/00,24 ,2 ,$127,$13,$140,$70,,,,,$140,FFP,"1,985",912,"2,200",GEO,137.0ºW,,,,24,,,,24 C-band 20W,USA,15.5,A2100A,3-axis,,
NSAT 110,JCSAT 110,LockMart,JapanSC,Ariane 4,98 Oct,1998,"$53,925",10/15/98,00 Oct,10/06/00,24 ,00 Oct,10/15/00,24 ,1 ,$82,$8,$90,$90,,,,,$90,FFP,"3,520","1,669","7,200",GEO,110.0ºE,,,,,,24,,24 Ku,Japan,13.0,A2100AX,3-axis,,
Optus C1,Defense C1,MelcoSSL,Optus,Ariane,98 Oct,1998,"$53,500",10/15/98,03 Jun,06/11/03,56 ,01 Jan,01/15/01,,1 ,,,$107,$107,$46,$80,$27,$52,$312,FFP,"4,725","2,000","10,000",GEO,156.0ºE,6,6,,,4,24,4,24Ku4Ka4X6L6UHF,Australia New Zealand,15.0,FS-1300,3-axis,,
PAS 9,,HSC,PanAmSat,SeaLaunch,98 Oct,1998,"$33,487",10/15/98,00 Jul,07/28/00,21 ,,,,1 ,,,$80,$80,,$60,$26,,$166,FFP,"3,659","2,389","8,900",GEO,58.0ºW,,,,24,,24,,24C55W/24Ku108W,,15.0,HS-601HP,3 Axis,,
Teledesic,Calling,Motorola,McCawGates,,99,1999,"$25,926",,Cancel,,,02,,,324 ,,,"$11,340",$35,$64,"$3,782",$378,,"$15,564",Prop,"1,490","1,350","4,000",LEO,,,,,,,,24,24Ka 56W&2W,Global,10.0,,,,
PAS 10,PAS 4R/24,HSC,PanAmSat,ArianProtn,99 Apr,1999,"$50,226",04/15/99,01 May,05/15/01,25 ,,,,2 ,,,$200,$100,,,,,$200,FFP,"3,982","1,991","9,900",GEO,68.5ºE,,,,24,,24,,24C/24Ku,,15.0,HS 601HP,3-axis,,
Astra 2C,,HSC,SES Lux,Proton,99 Aug,1999,"$55,000",08/15/99,01 Jun,06/16/01,22 ,01 Jan,01/15/01,17 ,1 ,,,$110,$110,,,,,$110,FFP,"3,643","2,000","8,500",GEO,31.5ºE,,,,,,32,,32 Ku (28 EOL),Europe,15.0,HS 601HP,3-axis,,
Astra 2D,,HSC,SES Lux,Ariane,99 Aug,1999,"$107,143",08/15/99,00 Dec,12/20/00,16 ,00 Dec,12/15/00,16 ,1 ,,,$75,$75,,$90,,,$165,FFP,"1,450",700,"1,150",GEO,28.2ºE,,,,,,16,,16 Ku,Europe UK Spot,12.0,HS 376HP,spinner,,
GE 09,AMC-9,LockMart,GE Americom,Proton K,99 Feb,1999,"$45,000",02/15/99,03 Jun,06/06/03,52 ,,,,1 ,,,$90,$90,,,,,$90,FFP,"4,100","2,000","10,000",GEO,83.0ºW,,,,,,24,,24 Ku-band,USA,15.0,A-2100,3-axis,,
BSAT 2a/b,,Orbital,BSSC,Ariane,99 Jan,1999,"$112,150",01/15/99,01 Mar,03/08/01,26 ,00 Oct,10/15/00,21 ,2 ,$100,$20,$120,$60,,$115,$35,,$270,FFP,"1,275",535,"1,000",GEO,110.0ºE,,,,,,4,,4 Ku DBS,Japan,11.6,NovaStar,3-axis,,
HotBird 13A,Eutelsat 6,Alcatel,Eutelsat,Atlas 5,99 Jul,1999,"$50,000",07/15/99,02 Aug,08/21/02,37 ,01 Nov,11/15/01,28 ,1 ,,,$100,$100,,$110,,,$210,LOI,"3,898","2,000","8,500",GEO,13.0ºE,,,,,,28,4,28Ku/4Ka,Europe,12.0,SB3000B3,3-axis,,
AtlantiBird1,,Alenia,Eutelsat,Ariane,99 Jun,1999,"$58,065",06/15/99,02 Aug,08/28/02,38 ,01 May,05/15/01,23 ,1 ,$62,,$90,$90,,,,,$90,FFP,"2,700","1,550","5,100",GEO,12.5ºW,,,,,,26,,26 Ku,,12.5,3000B2,3-axis,,
Bolivarsat,Andesat,Alcatel,Andesat,,99 Jun,1999,"$42,857",06/15/99,02 Jan,N/A,,02 Jan,01/15/02,31 ,4 ,,,$300,$75,,$145,$55,,$500,LOI,"3,500","1,750",,GEO,,,,,,,,,,Latin America,13.5,SB,3-axis,,
XM 3,XM Radio,HSCAlcat,XM Radio,Sea Launch,99 Jun,1999,"$37,517",06/15/99,05 Mar,03/01/05,69 ,,,,1 ,,,$110,$110,,,$50,,$160,FFP,"4,682","2,932","15,000",GEO,85.1ºW,,,2,,,,,S-band,USA,15.0,HS 702,3-axis,,
Celestri,,MMS,Celestri,,99 Mar,1999,"$32,800",03/15/99,Cancel,,,02 Dec,12/15/02,,63 ,,,"$5,199",$82,$200,"$3,365","$1,541",$260,"$10,565",FFP,"3,100","2,500","4,600",LEO,,,,,,,,26,260 Ka,,8.0,,3-axis,,
DirecTV 4S,,HSC,DirecTV,Ariane,99 Mar,1999,"$57,143",03/15/99,01 Nov,11/27/01,32 ,01 Nov,11/15/01,32 ,1 ,,,$120,$120,,$90,,,$210,FFP,"4,260","2,100","8,400",GEO,101.0ºW,,,,,,48,,48 Ku,USA,15.0,Ku 601HP,3-axis,,
Nilesat 102,,Astrium,Nilesat,Ariane 44,99 Mar,1999,"$73,684",03/15/99,00 Aug,08/17/00,17 ,,,,1 ,,,$70,$70,,$70,,,$140,FFP,"1,800",950,"3,750",GEO,7.0ºW,,,,,,12,,12Ku 100W,Egypt N. Africa,12.0,ES 2000,3-axis,,
SkyBridge,Sativod,Alcatel,SkyBridge,,99 Mar,1999,"$45,000",03/15/99,cancel,,,02 Mar,03/15/02,36 ,80 ,"$2,875",,"$2,875",$36,$100,$100,$155,$100,"$4,200",FFP,"1,600",800,"3,000",LEO,,,,,,,45,,45 Ku,,8.0,,3-axis,,
Sirius 4,NGSO,SS/L,Sirius CD,Proton,99 May,1999,"$42,001",05/15/99,Spare,,,00 Dec,12/15/00,19 ,1 ,,,$110,$110,,$90,,,$200,FFP,"5,820","2,619","22,000",GEO,,,,2,,,,,Radio Broadcast,,15.0,FS-1300,3-axis,,
WildBlue,Ladybug,SS/L,iSky KaStar,Ariane,99 Nov,1999,"$80,201",11/15/99,06 Dec,12/08/06,85 ,01 Jun,06/15/01,19 ,1 ,$120,$40,$160,$160,,$70,$35,,$265,FFP,"4,735","1,995","8,280",GEO,111.1ºW,,,,,,,48,48Ka-125 MHz,USA,12.0,FS-1300,3-axis,,
Rascom,,Alcatel,RASCOM,Ariane,99 Oct,1999,"$80,000",10/15/99,Delayd,,,02 Jan,01/15/02,27 ,2 ,,,$200,$100,$700,$150,$50,,"$1,100",FFP,"2,500","1,250",,GEO,,,,,12,,12,,24 C/Ku Rural t,Africa,,,3-axis,,
NSS 7,,LockMart,New Skies,Ariane 4,99 Sep,1999,"$48,085",09/15/99,02 Apr,04/16/02,31 ,01 Dec,12/15/01,27 ,1 ,$100,$13,$113,$113,,$100,$37,,$250,LOI,"4,708","2,350","11,000",GEO,22.0ºW,,,,36,,36,,36C & 36Ku-band,Transoceanic,12.0,A2100AX,3-axis,,
GE 15/16,AMC-15/16,LockMart,GE Americom,Ariane,00,2000,"$50,000",,04 Oct,10/14/04,,,,,2 ,,,$100,$100,,,,,$200,FFP,"4,021","2,000",,GEO,105.0ºW,,,,,,24,12,24Ku/12Ka,USA,15.0,A2100,3-axis,,
AMC 13 GE3i,Worldsat 3,Alcatel,GE Americom,Ariane 5,00 Apr,2000,"$36,000",04/15/00,05 Jul,07/15/05,63 ,03 Apr,04/15/03,36 ,1 ,,,$90,$90,,$80,$27,,$197,FFP,"4,816","2,500","10,158",GEO,,,,,60,,,,60 C 23/80 W,USA,15.0,SB-4100,3-axis,,
ANIK F2,,HSC,Telesat,Ariane,00 Apr,2000,"$37,779",04/15/00,04 Jul,07/18/04,51 ,02 Dec,12/15/02,32 ,1 ,,,$115,$115,,,,,$115,FFP,"5,950","3,044","15,000",GEO,111.1ºW,,,,24,,32,52,24C/32Ku/38Ka,Canada & USA,15.0,HS 702,3-axis,"""Ka-band for North America"", Boeing Anik F2 web site description",
Inmarsat 4,BGAN,Astrium,Inmarsat,AtlasArian,00 Apr,2000,"$49,455",04/15/00,05 Mar,03/11/05,59 ,03 Nov,11/15/03,43 ,3 ,,,$408,$136,,$200,$91,,$699,FFP,"5,959","2,750","9,000",GEO,143.5ºE,,120,,2,,,,"25ºE, 98ºW 200 SpotBeams",Global,13.0,ES3000GM,3-axis,,
JCSat 8,JCSat 2A,HSC,JSAT Corp,Ariane 44L,00 Apr,2000,"$68,493",04/15/00,02 Apr,03/29/02,23 ,01 Sep,09/15/01,17 ,1 ,,,$100,$100,,,,,$100,FFP,"2,600","1,460","3,700",GEO,154.0ºE,,,,16,,6,,16C/6Ku,Japan,11.0,HS 601,3-axis,,
EstreladoSul,Telstar 14,SS/L,Skynet Bra,Sea Launch,00 Aug,2000,"$66,768",08/15/00,04 Jan,01/11/04,41 ,02 Sep,09/15/02,25 ,1 ,,,$132,$132,,$80,$38,,$250,FFP,"4,802","1,977","8,836",GEO,63ºW,,,,,,41,,41 Ku Brazil-1,Brazil,15.0,FS-1300,3-axis,Telstar 14 Technical Manual,
MTSat 2,,MELCO,MT Japan,H2A,00 Aug,2000,"$72,941",08/15/00,06 Feb,02/18/06,66 ,04 May,05/15/04,45 ,1 ,,,$124,$124,,,,,$124,FFP,"4,650","1,700","3,800",GEO,,,,,,,,,Aviation,Japan,3.5,DS-2000,3-axis,,
NSS 6R,NSS 6,LockMart,New Skies,Ariane,00 Aug,2000,"$60,870",08/15/00,02 Dec,12/17/02,28 ,02 Dec,12/15/02,28 ,1 ,,,$140,$140,,$100,$39,,$279,FFP,"4,575","2,300","10,000",GEO,95.0ºE,,,,60,,6,12,60C/6Ku/12Ka,S Asia Australia S Africa,14.0,A2100AX,3-axis,,
YAMAL 200,201 & 202,Energia,Gazkom A/O,Proton M,00 Aug,2000,"$30,075",08/15/00,03 Nov,11/24/03,39 ,02 Aug,08/15/02,24 ,2 ,,,$80,$40,,$33,$17,,$130,FFP,"1,330","1,330","2,000",GEO,49.0ºE,,,,6,,6,,6C&6Ku 55W/120W,N Asia,12.0,Yamal200,3-axis,,
Astra 3A,,BSS,SES Lux,Ariane,00 Dec,2000,"$100,000",12/15/00,02 Apr,04/29/02,16 ,02 Jun,06/15/02,18 ,1 ,,,$75,$75,,,,,,FFP,"1,512",750,"1,525",GEO,23.5ºE,,,,,,20,,20 Ku,Eastern Europe,10.0,BS 376HP,spinner,,
CyberStar,,Loral,LAHI,Atlas 2,00 Feb,2000,"$92,105",02/15/00,Delayd,,,,,,2 ,,,$280,$140,,,,,$280,Prop,"3,565","1,520","7,600",GEO,,,,,,,,40,40 Ka,,12.0,FS 1300,3-axis,,
Echostar 7,,LockMart,Echostar,Atlas 3B,00 Feb,2000,"$53,333",02/15/00,02 Feb,02/21/02,24 ,01 Dec,12/15/01,22 ,1 ,$100,$20,$120,$120,,,,,$120,FFP,"4,500","2,250","11,000",GEO,119.0ºW,,,,,,32,,32 Ku,USA,15.0,A2100AX,3-axis,,
Echostar 8,,SS/Loral,Echostar,Proton,00 Feb,2000,"$54,167",02/15/00,02 Aug,08/22/02,30 ,01 Dec,12/15/01,22 ,1 ,,,$130,$130,,,,,$130,FFP,"4,660","2,400","12,000",GEO,77.0ºW,,,,,,41,,41Ku-250W16spot,USA,15.0,FS1300,3 Axis,,
Echostar 9,Telstar 13,SS/L,Echostar,Proton K,00 Feb,2000,"$70,768",02/15/00,03 Aug,08/08/03,42 ,02 Jan,01/15/02,23 ,1 ,,,$130,$130,,,,,$130,FFP,"4,737","1,837","10,643",GEO,121.0ºW,,,,24,,32,2,32Ku/2Ka/24C,USA,15.0,FS 1300,3-axis,,
Hotbird 7,Eutelsat,Astrium,Eutelsat,Ariane 5,00 Feb,2000,"$60,000",02/15/00,02 Dec,12/11/02,34 ,02 Mar,03/15/02,25 ,1 ,,,$90,$90,,,,,$90,FFP,"3,300","1,500","7,800",GEO,,,,,,,40,,40Ku DBS,Europe,12.0,ES 2000+,3-axis,,
AtlantiBird2,"E8WA,NewBird",Alcatel,Eutelsat,Ariane 44P,00 Jan,2000,"$51,901",01/15/00,01 Sep,09/25/01,20 ,01 Jun,06/15/01,17 ,1 ,,,$71,$71,,$76,$23,,$170,FFP,"3,150","1,368","7,400",GEO,8.0ºW,,,,,,26,,26 Ku,,12.0,SB3000B2,3-axis,,
INT 10-01,NI Alpha 1,MMS,INTELSAT,Proton,00 Jan,2000,"$56,000",01/15/00,04 Jun,06/16/04,53 ,02 Sep,09/15/02,32 ,2 ,,,$280,$140,,,,,$280,FFP,"5,000","2,500","8,000",GEO,0.8ºW,,,,45,,16,,45C/16Ku,Transoceanic Global,13.0,ES 3000,3-axis,,
INT 906/7,,SS/L,INTELSAT,Ariane,00 Jan,2000,"$60,150",01/15/00,02 Sep,09/10/02,32 ,,,,2 ,,,$240,$120,,,,,$240,FFP,"4,723","1,995","8,280",GEO,64.2ºE,,,,44,,12,,44C/12Ku,Transoceanic Global,13.0,FS 1300,3-axis,,
NStar C,Orbitalbus,LockMart,NTT,Ariane,00 Jan,2000,"$73,171",01/15/00,02 Jul,07/05/02,30 ,02 Feb,02/15/02,25 ,1 ,,,$60,$60,$10,$40,,,$110,FFP,"1,645",820,"1,500",GEO,136ºE,,,12,1,,,,12S & 1C Mobile,Japan,10.0,Star 2,3-axis,,
iPStar 1,Thaicom 4,SS/L,Shin Sat,Ariane,00 Jul,2000,"$41,347",07/15/00,05 Aug,08/11/05,61 ,02 Dec,12/15/02,29 ,1 ,$110,$30,$140,$140,$74,$100,$36,,$350,FFP,"6,485","3,386","16,030",GEO,,,,,12,,78,9,12C/78Ku/9Ka,"Indochina, Indonesia, Aus",12.0,FS1300SX,3-axis,,
Eutelsat W5,"25C, 70A",Alcatel,Eutelsat,Delta-4M2,00 Jun,2000,"$65,263",06/15/00,02 Nov,11/20/02,29 ,02 Nov,11/15/02,29 ,1 ,,,$124,$124,,$125,,,$249,FFP,"3,170","1,900","5,900",GEO,70.5ºE,,,,,,24,,24 Ku-band,Mid East Indochina spots,12.0,SB3000B2,3 axis,,
MTSat 1R,,SS/L,MT Japan,H2A,00 Mar,2000,"$80,906",03/15/00,05 Feb,02/26/05,59 ,03 Jun,06/15/03,39 ,1 ,,,$100,$100,,,,,$100,FFP,"3,000","1,236","2,363",GEO,,,,,,,,,Ku/Ka/LAviation,Japan,10.0,FS 1300,3-axis,,
Hispasat 1D,,Alcatel,HispasatSA,Atlas 2AS,00 May,2000,"$60,606",05/15/00,02 Sep,09/25/02,28 ,02 Jun,06/15/02,25 ,1 ,,,$100,$100,,$63,,,$163,FFP,"3,288","1,650","6,000",GEO,30.0ºW,,,,,,28,,28 Ku-band,NE Americas transoceanic,15.0,SB3000B2,3-axis,,
AMOS 2,,IAI,SpaceCom,Ariane,00 Sep,2000,"$118,519",09/15/00,03 Dec,12/27/03,39 ,02 Sep,09/15/02,24 ,1 ,,,$80,$80,,$33,$17,,$130,FFP,"1,374",675,"2,000",GEO,4.0ºW,,,,,,11,,11 Ku-band @75W,Mid East,12.0,,3-Axis,,
ExpressWay,,HSC,HCI,Ariane 5,00 Sep,2000,"$34,286",09/15/00,cancel,,,04 Nov,11/15/04,50 ,14 ,,,"$1,680",$120,$225,"$1,550",$370,$25,"$3,850",FFP,"5,500","3,500","15,000",GEO,,,,,,,,,V-band,,15.0,HS 702,3-axis,,
ICO,Modified,HSC,New ICO,Atlas 2AS,00 Sep,2000,"$67,727",09/15/00,N/A,,,03 Jan,01/15/03,28 ,3 ,,,$448,$149,,,,,$750,FFP,"2,750","2,200","8,700",MEO,,,,,,,,,S-band 163 beam,Global,12.0,HS601MEO,3-axis,,
Protostar II,SES 7 G-8iR,BSS,PanAmSat,ILS Proton,00 Sep,2000,"$55,556",09/15/00,09 May,05/14/09,104 ,09 Jan,01/15/09,100 ,1 ,,,$100,$100,,$90,$29,$26,$245,FFP,"3,904","1,800","8,000",GEO,107.7ºE,,,16,,,27,,13S/27Ku Refurb Galaxy8iR,Indonesia India Philippin,15.1,BS-601HP,3-axis,,
Stellat 5,Atlanbird3,Alcatel,FranceTel,Ariane,00 Sep,2000,"$54,294",09/15/00,02 Jul,07/05/02,22 ,02 Jun,06/15/02,21 ,1 ,,,$98,$98,,$87,$28,,$213,FFP,"4,050","1,805","9,000",GEO,5.0ºW,,,,,,35,,35 Ku/ 10 C,,15.0,SB3000B3,3-axis,,
AMC 12 GE1i,Astra 4A NSS,Alcatel,GE Americom,Proton,01 Apr,2001,"$36,000",04/15/01,05 Feb,02/03/05,46 ,03 Apr,04/15/03,24 ,1 ,,,$90,$90,,$62,$23,,$175,FFP,"5,396","2,500","10,841",GEO,37.5ºW,,,,72,,,,72 C-band,USA,15.0,SB-4100,3-axis,,
Eutelsat 7A,Eutelsat W3A,Astrium,Eutelsat,Proton M,01 Apr,2001,"$52,381",04/15/01,04 Mar,03/15/04,35 ,03 Dec,12/15/03,32 ,,,,$110,$110,,$86,,,$196,,"4,300","2,100","7,500",GEO,7.0ºE,,,,,,38,2,38 Ku/2Ka,Europe,12.0,ES 3000S,3-axis,,
NSS 8,,BSS,New Skies,Sea Launch,01 Apr,2001,"$42,105",04/15/01,07 Jan,01/30/07,70 ,03 Aug,08/15/03,28 ,1 ,,,$120,$120,,$70,$30,$9,$229,FFP,"5,840","2,850","14,000",GEO,,,,,46,,42,,46 C & 42 Ku,,16.0,BSS 702,3-axis,,
Horizons 1,Galaxy 13,BSS,JCSat,Sea Launch,01 Aug,2001,"$45,627",08/15/01,03 Oct,10/01/03,26 ,02 Dec,12/15/02,16 ,1 ,,,$120,$120,,,,,$120,FFP,"4,060","2,630","8,500",GEO,127.0ºW,,,,,,24,,24 Ku 108W,USA,15.0,BSS601HP,3-axis,,
MBSat,,SS/L,Mobile BC,Altas 3,01 Aug,2001,"$61,111",08/15/01,04 Mar,03/13/04,31 ,03 Dec,12/15/03,28 ,1 ,,,$110,$110,,,,,$110,FFP,"4,126","1,800","7,400",GEO,144ºE,,,,,,,,"Ku, DARS S-band",China,12.0,FS-1300,3-axis,,
Apstar 6,Apstar 5B,Alcatel,APT Sat,LM-3B,01 Dec,2001,"$53,636",12/15/01,05 Apr,04/12/05,40 ,04 Jul,07/15/04,31 ,1 ,,,$118,$118,,,,,$118,FFP,"4,676","2,200",,GEO,134.0ºE,,,,38,,12,,38C/12Ku 145W,China E Asia India,14.0,SB4000C3,3-axis,,
DirecTV 7S,,SS/L,DirecTV,Ariane,01 Feb,2001,"$60,606",02/15/01,04 May,05/04/04,39 ,03 Jun,06/15/03,28 ,1 ,,,$140,$140,,,,,$140,FFP,"5,550","2,310","12,550",GEO,119.0ºW,,,,,,52,,52 Ku 30 beams,USA,15.0,FS 1300,3-axis,,
SatMex 06,Solidar 1R,SS/L,Sat Mexica,Ariane,01 Jan,2001,"$60,606",01/15/01,06 May,05/27/06,64 ,03 Mar,03/15/03,26 ,1 ,,,$140,$140,,$90,$35,$35,$300,FFP,"5,456","2,310",,GEO,113.0ºW,,,,36,,24,,36 C & 24 Ku,Mexico Latin America,15.0,FS-1300,3-axis,,
Telstar 18,APStar 5,SS/L,APT Sat,LM 3B,01 Jan,2001,"$47,373",01/15/01,04 Jun,06/29/04,41 ,03 Jan,01/15/03,24 ,1 ,$100,$10,$110,$110,,$90,$30,,$230,FFP,"4,645","2,322","9,500",GEO,138.0ºE,,,,38,,16,,38C60W/16Ku141W,China,13.0,FS-1300,3-axis,,
Amazonas 1,,Astrium,HispasatSA,Proton-MBM,01 Jul,2001,"$47,111",07/15/01,04 Aug,08/04/04,37 ,03 Dec,12/15/03,29 ,2 ,,,$213,$106,$53,,,,$266,LOI,"4,645","2,250","9,500",GEO,61.0ºW,,,,19,,32,,19C & 32Ku band,"US, Latin America, W Euro",15.0,ES 3000S,3-axis,,
SpainSat,XTAR-LANT,SS/L,Hispasat,Ariane 5G,01 Jul,2001,"$80,000",07/15/01,06 Mar,03/11/06,56 ,04 Jun,06/15/04,35 ,1 ,,,$120,$120,,$64,$28,,$212,FFP,"3,700","1,500","4,200",GEO,30 0186W,,,,,3,,1,13X & 1Ka-band,Spain,,FS-1300,3-axis,,
XTAR-Eur,,SS/L,Hisdesat,Ariane5ECA,01 Jul,2001,"$62,500",07/15/01,05 Feb,02/12/05,43 ,03 Dec,12/15/03,29 ,1 ,,,,$90,,$75,$35,,$200,FFP,"3,660","1,440","4,150",GEO,29ºE,,,,,12,,,12 Wide X-band,,15.0,FS 1300,3-axis,,
Nimiq 2,,LockMart,Telesat,Atlas 5,01 Jun,2001,"$66,667",06/15/01,02 Dec,12/29/02,18 ,01 Dec,12/15/01,6 ,1 ,,,$120,$120,,$63,$27,,$210,FFP,"3,600","1,800","8,600",GEO,91.0ºW,,,,,,32,,32 Ku & Ka,Canada,15.0,A2100AX,3-axis,,
e-Bird 1,Eurobird 3,BSS,Eutelsat,Ariane 5,01 Mar,2001,"$84,459",03/15/01,03 Sep,09/27/03,30 ,02 Jun,06/15/02,15 ,1 ,,,$75,$75,,,,,$75,FFP,"1,525",888,"1,460",GEO,33ºE,,,,,,20,,20 Ku,Europe,10.0,BSS 376,spinner,,
Galaxy 12,,Orbital,PanAmSat,Ariane 5G,01 Mar,2001,"$66,667",03/15/01,03 Apr,04/09/03,25 ,,,,3 ,,,$180,$60,,,,,$180,FFP,"1,760",900,"2,640",GEO,123.0ºW,,,,,,24,,24 Ku Band 37W,USA,15.0,Star-2,3-axis,,
