"","npv_welfare_gain.rem","npv_welfare_gain.norem","start_year","year","npv_welfare_loss.norem","npv_welfare_loss.rem","coi_effect_of_removal","coi_effect_of_removal_pc"
"1",2307.64161602625,2307.6416160265,2020,2030,0,0,0,0
"2",2119.35376179756,2119.35376179783,2025,2030,188.287854228664,188.287854228683,1.81898940354586e-11,7.88246056455748e-13
"3",1949.08028766617,1949.08028766613,2030,2030,358.561328360368,358.561328360077,-2.90810930891894e-10,-1.26020838275863e-11
"4",2608.45812168811,2608.4581216883,2015,2030,-300.8165056618,-300.816505661865,-6.54836185276508e-11,-2.83768580324069e-12
"5",2339.94792030036,2338.76960003996,2020,2031,0,0,0,0
"6",2144.9805215665,2144.26312507046,2025,2031,194.506474969498,194.967398733857,0.46092376435945,0.0196980351725215
"7",2041.14999119538,1966.67484509664,2030,2031,372.094754943323,298.797929104982,-73.296825838341,-3.13241270040457
"8",2652.77934060045,2654.04920723051,2015,2031,-315.279607190549,-312.831420300088,2.44818689046087,0.104625699966289
"9",2372.77829692875,2379.69423396211,2020,2032,0,0,0,0
"10",2159.65205525016,2165.66904180299,2025,2032,214.025192159126,213.126241678588,-0.898950480537223,-0.0378859871443024
"11",2121.84264247841,1993.86657159635,2030,2032,385.827662365764,250.935654450343,-134.892007915422,-5.68498152945944
"12",2695.48350189047,2704.59346945924,2015,2032,-324.89923549713,-322.705204961721,2.19403053540873,0.0924667314366712
"13",2395.91718121558,2407.71056152126,2020,2033,0,0,0,0
"14",2155.11101942346,2169.59688109028,2025,2033,238.113680430978,240.806161792119,2.69248136114129,0.112377897794249
"15",2055.58168371413,1968.1690459335,2030,2033,439.54151558776,340.335497501448,-99.2060180863123,-4.1406280177005
"16",2720.24080978122,2737.61855572149,2015,2033,-329.90799420023,-324.323628565641,5.58436563458918,0.233078408484718
"17",2433.99486172325,2451.185965491,2020,2034,0,0,0,0
"18",2166.23896584289,2187.13402907197,2025,2034,264.051936419036,267.755895880356,3.7039594613193,0.152176141353763
"19",2075.54930431418,2020.52681964187,2030,2034,430.659145849135,358.445557409074,-72.2135884400609,-2.96687513912557
"20",2760.45082069577,2777.97714501676,2015,2034,-326.791179525761,-326.45595897252,0.33522055324147,0.0137724429296509
"21",2474.32844503969,2496.090296661,2020,2035,0,0,0,0
"22",2183.93927901313,2210.85797131387,2025,2035,285.232325347125,290.38916602656,5.15684067943539,0.208413749184081
"23",2080.43097311043,2037.63685056669,2030,2035,458.453446094306,393.897471929257,-64.5559741650491,-2.60903011055242
"24",1919.91681862738,1866.65531844611,2035,2035,629.434978214883,554.411626412315,-75.0233518025682,-3.03206924500941
"25",2801.50222311401,2817.12769075691,2015,2035,-321.037394095914,-327.173778074313,-6.13638397839895,-0.248001997903739
"26",2522.69648624423,2548.12574549469,2020,2036,0,0,0,0
"27",2215.33877041399,2244.92476057941,2025,2036,303.200984915287,307.357715830238,4.15673091495091,0.164773326383762
"28",2091.93812018524,2064.83932290952,2030,2036,483.286422585177,430.758366058992,-52.5280565261851,-2.08221864233808
"29",2004.67779992412,1891.79530700305,2035,2036,656.330438491647,518.018686320113,-138.311752171533,-5.48269492290175
"30",2849.22231031309,2869.57889053918,2015,2036,-321.453145044486,-326.525824068857,-5.07267902437115,-0.201081622463561
"31",2555.28704472396,2583.48203031922,2020,2037,0,0,0,0
"32",2239.42167431324,2268.7166274513,2025,2037,314.765402867923,315.865370410716,1.09996754279291,0.043046731092856
"33",2089.21220677492,2068.97738986677,2030,2037,514.504640452455,466.074837949034,-48.4298025034209,-1.89527836426113
"34",2021.69025794554,1903.44538658691,2035,2037,680.03664373231,533.596786778421,-146.439856953889,-5.73085741017829
"35",2944.34676031351,2969.32528751955,2015,2037,-385.843257200329,-389.059715589553,-3.21645838922359,-0.125874640810503
"36",2594.32133482072,2626.23284339599,2020,2038,0,0,0,0
